"","NRF2","ZEB","OVOL2","miR145","miR200","GRHL2","miR34","Ecad","KEAP1","OCT4","SNAIL"
"ZEB",-0.119836859521405,-0.071482508157977,-0.0196004361232959,-0.0113204278432161,-0.00999208938368371,-0.00826335861784123,0.000568468885838513,0.00826335861784123,0.0309585941139317,0.0364167519086124,0.0888838187147938
"OVOL2",-0.0152804683710681,-0.0264521479016807,-0.0395633533826665,0.054700448254057,-0.0480345342689049,0.0538555941286563,0.0458198260201391,-0.0538555941286563,0.0762429272871022,-0.0210281221315025,-0.0518278715184365
"SNAIL",-0.0142037328258264,-0.0246945046965361,0.0515405096578873,0.0449431354217437,-0.0328573166158879,0.0441344065771575,0.0748971541953279,-0.0441344065771575,0.0528591411836934,-0.0210425050917474,-0.0835316210907797
"KEAP1",-0.115514616817258,-0.0212380926456248,0.056103488485877,0.0493742404704626,-0.0292233123853407,0.0483517952695315,0.0777996715927751,-0.0483517952695315,0.0569932322344684,-0.0160920318815056,0.0185617299183362
"Ecad",0.00670919821681359,-0.00932561516414248,0.0463514913739548,0.0373231042597079,0.0375055127096571,0.0339022871913868,0.106959486709092,-0.0339022871913868,-0.0123816983891669,-0.0073367097018848,0.0174399186467811
"GRHL2",0.112173661791982,-0.00826335861784123,0.0456973789397064,0.0364167519086124,0.0309585941139317,0.0322889214021121,0.0159189198381971,-0.0322889214021121,-0.00640794051916049,-0.00714119782326668,-0.0764868811411778
"miR200",0.213520444538444,-0.00818588746185022,0.0461903640700223,0.0367466171369364,0.0332657090412529,0.0327127651240058,0.00482238687327699,-0.0327127651240058,-0.108177166876038,-0.00681643870404272,-0.0576976337787501
"OCT4",0.122497407683391,0.00161490530989984,-0.00176548944611911,-0.143070531913335,0.139349472571794,-0.00288782180977976,-0.0060706477425733,0.00288782180977976,-0.140689798912121,0.141471104842435,-0.022419831316755
"miR145",0.0721196036912306,0.00407091608869124,0.0327619242420236,0.0244769162561243,-0.0916271188620926,0.0153678859331331,0.006483077459865,-0.0153678859331331,0.111393493497053,-0.100916565615531,-0.0682412859495186
"NRF2",0.00684031239827292,0.0441344065771575,-0.0265928968131232,-0.0210425050917474,0.0528591411836934,-0.0212380926456248,-0.0592133398916893,0.0212380926456248,-0.0292233123853407,0.0493742404704626,-0.00458468737951107
"miR34",0.00684031239827292,0.0441344065771575,-0.0265928968131232,-0.0210425050917474,0.0528591411836934,-0.0212380926456248,-0.0592133398916893,0.0212380926456248,-0.0292233123853407,0.0493742404704626,-0.00458468737951107
