"","ZEB","OVOL2","miR145","miR200","GRHL2","Ecad","miR34","SNAIL","KEAP1","OCT4","NRF2"
"OVOL2",-0.0903456465924232,-0.0267940473001506,0.105176593119085,-0.0286070922948011,0.0980342978104862,0.0980342978104862,0.102833975668815,-0.0760623861366516,0.036262670840082,-0.0951188494321075,-0.0276203183946509
"ZEB",-0.0614196518762274,-0.0297374152931685,-0.0288205106755537,-0.0283195334305861,-0.0251280158997509,-0.0251280158997509,-0.0232567667039707,0.0413778199915132,0.0413980299787835,0.0462525631591525,0.130314066315532
"SNAIL",-0.032295667512176,0.0587055727433476,0.0554363326824588,0.10237412058745,0.0544440730722741,0.0544440730722741,-0.0434971304871412,-0.0309666332050138,-0.081250186819261,-0.0270121576731892,-0.0629427856451688
"GRHL2",-0.0251280158997509,0.0480805168296804,0.0462525631591525,0.0413980299787835,0.0416344353827378,0.0416344353827378,0.0412834729354247,-0.0216192805333271,-0.0253849580833587,-0.025015381551478,-0.12435380141487
"Ecad",-0.0240236549952979,0.0499153195508652,0.0473655723323365,0.102579500108251,0.0434636322916748,0.0434636322916748,0.0445993117914283,0.0773686583456817,-0.0839695781742289,-0.022467613148663,-0.232640933840539
"miR145",-0.0111348449273889,0.0351597356449347,0.0340216151897613,0.0367531396617384,0.0243192183035522,0.0243192183035522,0.0226732790719261,-0.00913394481534175,-0.0239120883475957,-0.117096463470274,-0.157093466134535
"OCT4",0.00180913609561464,-0.0021554047174543,-0.143623835533551,-0.143286088520927,-0.00343430621810283,-0.00343430621810283,0.00152042784841264,-0.027539061830485,0.141887487122325,0.141546967545964,0.124644645636695
"miR200",0.0229006822599372,-0.0484793085809863,-0.0454116949013391,-0.0298177128785444,-0.0408928103669087,-0.0408928103669087,-0.043976450371698,0.0236862726957028,-0.0874599744958215,0.0223395459486626,0.0181031930216478
"KEAP1",0.0274594248496323,-0.0651849991213212,-0.0616717933395363,-0.106798061506715,-0.0604040312636265,-0.0604040312636265,0.0368737556914897,-0.0763899011579082,0.0761992873435844,0.0198006276953645,0.160309429042034
"NRF2",0.0544440730722741,-0.0288080816633227,-0.0270121576731892,-0.081250186819261,-0.0274594248496323,-0.0274594248496323,0.0730883607585538,-0.036079300212601,0.106798061506715,0.0616717933395363,0.0730208311151382
"miR34",0.0544440730722741,-0.0288080816633227,-0.0270121576731892,-0.081250186819261,-0.0274594248496323,-0.0274594248496323,0.0730883607585538,-0.036079300212601,0.106798061506715,0.0616717933395363,0.0730208311151382
