"","miR200","ZEB","miR34","miR145","GRHL2","Ecad","NRF2","OCT4","SNAIL","OVOL2","KEAP1"
"SNAIL",-0.117700057000527,-0.105099951754985,-0.1623770442272,0.119061902030429,0.112407801305271,0.112407801305271,-0.109413313698777,-0.108746737032283,0.357985657882974,-0.146528478871042,0.123616218109864
"KEAP1",-0.116982889679213,-0.102794469066538,-0.159924574604378,0.120491703475236,0.113952698592115,0.113952698592115,-0.206273019751387,-0.103620537831064,0.457522194994577,-0.146356293059212,0.126459551631122
"OVOL2",-0.0900612402715636,-0.092603919322949,0.103704030362693,0.107438607232482,0.10029851231166,0.10029851231166,-0.0920321695883278,-0.0970361251157878,-0.0759896709539149,0.0978962750221541,0.0961252224456843
"ZEB",-0.15964373951607,-0.0618531989327801,-0.0422465056612816,-0.0302227564032099,-0.0264990282922203,-0.0264990282922203,0.0140642318182635,0.0458845287660132,0.129193710212366,0.148054494474875,0.168311599398453
"Ecad",0.120438629974233,-0.0388737710323883,0.031725236238586,0.0573117422794919,0.0529594772096658,0.0529594772096658,-0.11786208421813,-0.0383457558849341,0.155197687459273,-0.167598478821918,-0.109316326608162
"miR145",0.191049008856827,-0.0321296854175814,0.0646442413015086,0.0554333387896915,0.0486396764421929,0.0486396764421929,0.00175181457802339,-0.133626191116057,-0.137705032180659,-0.176102015778815,-0.177890894547274
"GRHL2",0.168311599398453,-0.0264990282922203,0.0560818172339818,0.0458845287660132,0.0412206587833251,0.0412206587833251,0.00232649665855773,-0.0264667318755071,-0.119240824464427,-0.155317285540929,-0.156832841228519
"miR200",0.173279981569249,-0.0217987561560471,0.0677139381778986,0.0412137303417705,0.0365774265609644,0.0365774265609644,0.107228866237009,-0.0219274619166347,-0.171925089207478,-0.1483325200297,-0.261879579539958
"OCT4",-0.270504620945483,0.0434762741470509,-0.0472747348758018,-0.128836166094509,-0.0241263421960462,-0.0241263421960462,-0.0808368827620467,0.155023800374766,0.167539865949239,0.153640132388138,0.284170122110984
"NRF2",0.123616218109864,0.112407801305271,0.171272243329095,-0.108746737032283,-0.102794469066538,-0.102794469066538,0.119966418551169,0.120491703475236,-0.45158026386696,0.141425686777254,-0.116982889679213
"miR34",0.123616218109864,0.112407801305271,0.171272243329095,-0.108746737032283,-0.102794469066538,-0.102794469066538,0.119966418551169,0.120491703475236,-0.45158026386696,0.141425686777254,-0.116982889679213
