"","ZEB","OVOL2","OCT4","miR145","miR34","GRHL2","Ecad","miR200","KEAP1","SNAIL","NRF2"
"ZEB",-0.0676934397387239,-0.0173492395254431,-0.014317657010814,-0.0096331916823027,-0.00837051950126966,-0.006389598470242,-0.006389598470242,-0.00316223916803968,0.0312880381964212,0.0463463463661157,0.0558273667476943
"OVOL2",-0.0239754869386827,-0.0366115709017637,0.015680066532327,-0.0459567191221745,0.0486315574782035,0.057053324134167,0.057053324134167,-0.0450043930013447,0.0806932889639953,-0.0290760339853178,-0.0260533325226601
"SNAIL",-0.022828285184783,0.0538365377549946,0.0159431960101801,-0.0376784574117374,0.0769787807254642,0.0465966825682663,0.0465966825682663,-0.0306100573353764,0.0562406735831527,-0.072305257902843,-0.0221176424971913
"KEAP1",-0.0194478442134514,0.0581870100471301,0.0121328095012306,-0.0409671653294514,0.0795923179174411,0.0506961877066928,0.0506961877066928,-0.0269275392986991,0.0604494629196326,0.0311200509609701,-0.117141052065504
"Ecad",-0.00750916742790293,0.0496245003903255,-0.0109762336113353,-0.0163979160485287,0.115190507578029,0.0375914680617124,0.0375914680617124,0.0383086381999094,-0.0060497613426946,0.054251312556002,-0.120926732276374
"GRHL2",-0.006389598470242,0.0491962219426773,-0.0127415556917993,-0.014317657010814,0.0261839468009729,0.036218604170052,0.036218604170052,0.0312880381964212,0.000697255921225892,-0.0187108928914396,-0.0208699400684134
"miR200",-0.00635689637139262,0.0495983854067295,-0.0130604425092852,-0.0144182231229879,0.0138352177341363,0.0365666337952348,0.0365666337952348,0.0339144842124265,-0.101474549302883,-0.01400066606608,0.0801262030836355
"OCT4",-0.00141845397802338,0.00148354610208281,-0.0705914184849592,0.0696126646057518,0.00487400776483312,0.00249923213829878,0.00249923213829878,-0.0713248603428958,0.072548636566672,0.0180167081414827,-0.0828845272396092
"miR145",0.00667526857631881,0.0355309603886675,-0.131596144551551,0.00935743922451127,0.013948733790496,0.0180164976856681,0.0180164976856681,0.0107831540035656,0.0155914809568015,-0.0161916434451842,-0.0174503185863709
"NRF2",0.0465966825682663,-0.0247319333488101,-0.0409671653294514,0.0159431960101801,-0.0607930843641092,-0.0194478442134514,-0.0194478442134514,0.0562406735831527,-0.0269275392986991,-0.00222065865847179,0.0541841508107305
"miR34",0.0465966825682663,-0.0247319333488101,-0.0409671653294514,0.0159431960101801,-0.0607930843641092,-0.0194478442134514,-0.0194478442134514,0.0562406735831527,-0.0269275392986991,-0.00222065865847179,0.0541841508107305
