"","miR145","GRHL2","Ecad","miR34","miR200","OVOL2","NRF2","SNAIL","KEAP1","ZEB","OCT4"
"miR145",0.625121317495921,0.612509234776439,0.612509234776439,0.588183834936459,0.348721305304264,0.32355414467295,-0.237009098934111,-0.293288267252089,-0.324265735842437,-0.636756955500138,-0.685539388972657
"GRHL2",0.601819736805823,0.588642583663871,0.588642583663871,0.56720868927607,0.335294968833404,0.308970036597483,-0.260218848157779,-0.287382203780327,-0.313052321774581,-0.611159711880809,-0.565531281628847
"miR200",0.594318537047147,0.581148905416423,0.581148905416423,0.534248679504545,0.316414887400391,0.306419348122741,-0.163351747847198,-0.183823896282563,-0.396552726014347,-0.60368085128368,-0.560757637124727
"Ecad",0.512813887720254,0.498132591086017,0.498132591086017,0.466717257528933,0.309498132551642,0.262627727185462,-0.312465336596252,-0.258098797843025,-0.295018152697701,-0.516853620316932,-0.487317289080798
"OVOL2",0.185439670240241,0.17976522370871,0.17976522370871,0.180159354985995,0.025707938194584,0.0151314046438451,-0.0975265722939876,-0.139371714544262,-0.015569469310293,-0.182070630719999,-0.172210332999872
"SNAIL",0.185082692437528,0.179549903124364,0.179549903124364,0.0525865396809576,0.0196437973777915,0.124631005643533,-0.0978389903895314,-0.105907690926362,-0.00783428225668581,-0.180515765757234,-0.170585102522808
"NRF2",0.170585102522808,0.166127359819217,0.166127359819217,0.0402309958653333,0.00783428225668581,0.113117158444122,-0.106322193647081,-0.00521236854962351,-0.0144676106873374,-0.179549903124364,-0.172454709425972
"KEAP1",-0.172454709425972,-0.167373052901645,-0.167373052901645,-0.0417000186458314,-0.0144676106873374,-0.120385237333823,-0.0139178499972175,-0.00275522091695313,-0.00689023938338397,0.166127359819217,0.147914832125358
"miR34",-0.170585102522808,-0.166127359819217,-0.166127359819217,-0.0402309958653333,-0.00783428225668581,-0.113117158444122,0.106322193647081,0.00521236854962351,0.0144676106873374,0.179549903124364,0.172454709425972
"ZEB",-0.625229088050226,-0.611159711880809,-0.611159711880809,-0.587943110641055,-0.346315168270888,-0.318086146212563,0.277508346738669,0.300235560670787,0.335294968833404,0.534439240630965,0.601819736805823
"OCT4",-0.674126529911073,-0.563094684905374,-0.563094684905374,-0.531251907557808,-0.411757909798148,-0.295288932964249,0.139468928630568,0.209593702866862,0.396897769938008,0.597975799307744,0.640729537788848
