"","OVOL2","miR145","GRHL2","Ecad","miR34","miR200","SNAIL","KEAP1","NRF2","ZEB","OCT4"
"miR145",0.754009445045465,0.742552249807816,0.734112089247108,0.734112089247108,0.67427461790854,0.323152976531711,-0.208652668989845,-0.300065784207973,-0.312891777900245,-0.784823034497238,-0.785060678668234
"GRHL2",0.738784107749621,0.726935416856493,0.71807378977471,0.71807378977471,0.657448592106531,0.307703107540131,-0.202120526126695,-0.28613448008915,-0.342392323537362,-0.766694896343885,-0.671956918675877
"miR200",0.732583123791465,0.720863680582337,0.711922507611938,0.711922507611938,0.644087279224227,0.308052865172599,-0.185485505691246,-0.387156914181884,-0.237223767831594,-0.759644511170465,-0.667256232948513
"Ecad",0.596755360820683,0.585102086812181,0.573142671787271,0.573142671787271,0.423261597943836,0.217945814336947,-0.0431743841750816,-0.202777510802992,-0.379879959131569,-0.60804949233405,-0.546217733070684
"OVOL2",0.544594506099823,0.410906069997123,0.403007754353883,0.403007754353883,0.374219878980882,-0.0205598784099713,-0.135364937911518,0.0314729241948936,-0.255534364107083,-0.427529441816747,-0.382973638729347
"NRF2",0.399429776113622,0.379989765122216,0.373166605199179,0.373166605199179,0.34864347564824,0.22094853940941,-0.132819032256553,-0.211285353646798,-0.120880922064629,-0.400282605527559,-0.351322459273702
"miR34",0.399429776113622,0.379989765122216,0.373166605199179,0.373166605199179,0.34864347564824,0.22094853940941,-0.132819032256553,-0.211285353646798,-0.120880922064629,-0.400282605527559,-0.351322459273702
"KEAP1",-0.369079155222461,-0.351322459273702,-0.344939730033528,-0.344939730033528,-0.324734597641002,-0.211285353646798,0.122758262506384,0.196905344217284,0.00260487187368515,0.373166605199179,0.315586262954684
"SNAIL",-0.427548935653748,-0.407939338722513,-0.400282605527559,-0.400282605527559,-0.372423439988199,-0.231918753339985,0.0379812741444589,0.22094853940941,0.133775391016105,0.423907912150617,0.379989765122216
"ZEB",-0.789805809001007,-0.776711528488274,-0.766694896343885,-0.766694896343885,-0.698509422967065,-0.325384007565699,0.217594613288061,0.307703107540131,0.369757508021752,0.710426098849625,0.726935416856493
"OCT4",-0.686999828682654,-0.77683510729846,-0.669541806212622,-0.669541806212622,-0.611312023916178,-0.394159655838312,0.186902772774919,0.374025623204279,0.194909234972678,0.723812881386748,0.715269101091728
