"","ZEB","KEAP1","miR200","OVOL2","miR145","GRHL2","Ecad","miR34","SNAIL","OCT4","NRF2"
"SNAIL",-0.0945026692454643,-0.0335392377472683,-0.0229613058948759,0.0819150016009687,0.107522476449187,0.100829325009978,0.100829325009978,-0.0163805292242637,-0.058991115152276,-0.0985124653257161,-0.0316508636269715
"KEAP1",-0.0925130948154124,-0.0379744935351546,-0.0197283832098364,0.0848201477234132,0.110113615853041,0.103300266827074,0.103300266827074,-0.0134182620882128,0.0444382911241064,-0.0946228183070288,-0.131280971899117
"OVOL2",-0.0902493641694466,-0.0298888095316139,-0.0210448390292,-0.0286679516899573,0.102726638402299,0.095567248899096,0.095567248899096,0.100444103256425,-0.0766118224027645,-0.0951165375663084,-0.0307327240129338
"ZEB",-0.0649792745727188,-0.0464626208715947,-0.0325723114878054,-0.0317857742856108,-0.0305301153190283,-0.0266724134200202,-0.0266724134200202,-0.0248953221575975,0.0375838549487003,0.0423701653034081,0.130839835083048
"Ecad",-0.0371428726387733,0.0340909618632883,0.0522475974714475,0.0496731233217631,0.0525273863575657,0.0480595314222375,0.0480595314222375,0.0476249473369448,0.0683686132037083,-0.0370443931602868,-0.229644723425207
"GRHL2",-0.0266724134200202,0.0283253659696339,0.0464626208715947,0.0444976386923905,0.0423701653034081,0.0376172001089488,0.0376172001089488,0.0372469542050752,-0.0238176594245543,-0.0268888553464118,-0.130106627892887
"miR145",-0.0128227595755463,0.0224010438618055,0.0369775978876711,0.0325618137895745,0.0315110145421911,0.0216422597881213,0.0216422597881213,0.0199230799256507,-0.0110149610454969,-0.119036301123445,-0.161434088756035
"OCT4",0.00349299719505823,-0.135801531783496,-0.136967032948998,-0.00227318829512096,-0.144220722836291,-0.00410944103462272,-0.00410944103462272,0.000958384412922177,-0.0261590073211191,0.143241968957084,0.122871852127836
"miR200",0.0225449669379205,0.0723809661910919,-0.0461028090553904,-0.042786534781048,-0.0383753241783105,-0.033700409866696,-0.033700409866696,-0.0369561402942151,0.025352411712988,0.0226577136274959,0.0279233886052042
"NRF2",0.100829325009978,0.0197283832098364,0.0335392377472683,-0.0722927554662912,-0.0985124653257161,-0.0925130948154124,-0.0925130948154124,0.0258304400741613,-0.0303262046960173,0.110113615853041,0.0319901917572735
"miR34",0.100829325009978,0.0197283832098364,0.0335392377472683,-0.0722927554662912,-0.0985124653257161,-0.0925130948154124,-0.0925130948154124,0.0258304400741613,-0.0303262046960173,0.110113615853041,0.0319901917572735
