"","NRF2","miR200","ZEB","miR34","miR145","GRHL2","Ecad","OVOL2","OCT4","SNAIL","KEAP1"
"SNAIL",0.115310193241754,0.138952478276223,-0.100567201611201,-0.0104100726146011,0.109440331970323,0.102728894170482,0.102728894170482,-0.081696440932586,-0.105443298229129,-0.0853237668747521,-0.139002653890874
"KEAP1",0.0130915833615481,0.138811449301964,-0.0993219489278908,-0.0084976873154213,0.111291812131334,0.104437241798286,0.104437241798286,-0.0839821727825822,-0.101782609677347,0.0170702033273841,-0.138858596873864
"ZEB",-0.149745982859071,-0.124123671333673,-0.0564652033957522,-0.0516260121592449,-0.046158982047463,-0.041454392269034,-0.041454392269034,0.0409177888688,0.0499182239510348,0.108441321850414,0.124015003473791
"miR145",0.20302642282889,0.147743958551422,-0.048694728752931,0.0638731848318387,0.0606499144329368,0.0530170869181726,0.0530170869181726,-0.048738568961474,-0.152517749901581,-0.117219028267117,-0.147668864684088
"OVOL2",-0.00356256112541143,-0.0377153387978794,-0.0428090240418113,0.0502455918552225,0.0487252061754669,0.0478417037803734,0.0478417037803734,-0.0811761019658514,-0.0396327300916954,-0.0620526555572588,0.037678201549219
"GRHL2",0.146387420891238,0.124015003473791,-0.041454392269034,0.0552610269960401,0.0499182239510348,0.044661255070577,0.044661255070577,-0.0452184383223086,-0.043897714523314,-0.104804690519437,-0.124055853146993
"miR200",0.237847842821107,0.110540728442405,-0.0360936355709345,0.0520234112919412,0.0447745680030104,0.0396144206035543,0.0396144206035543,-0.0431779807940966,-0.0383354679254309,-0.0877881524288498,-0.210626877576128
"Ecad",0.214633156654949,0.0794051765097298,-0.0228804923979228,0.126343627126948,0.0306459467822683,0.0246021838178452,0.0246021838178452,-0.032366996255668,-0.0273806406598193,-0.128482833881576,-0.0794303590833888
"OCT4",-0.280750298062593,-0.230679992011501,0.0472612253641178,-0.051264929584118,-0.146614424384247,-0.0410247350911212,-0.0410247350911212,0.0381895212871979,0.157428461147198,0.108233078557665,0.230446891778401
"NRF2",-0.118601676105683,-0.139002653890874,0.102728894170482,0.0143524882521895,-0.105443298229129,-0.0993219489278908,-0.0993219489278908,0.0772619390353215,0.111291812131334,-0.0109257063658716,0.138811449301964
"miR34",-0.118601676105683,-0.139002653890874,0.102728894170482,0.0143524882521895,-0.105443298229129,-0.0993219489278908,-0.0993219489278908,0.0772619390353215,0.111291812131334,-0.0109257063658716,0.138811449301964
