"","miR200","ZEB","miR145","miR34","GRHL2","Ecad","NRF2","OVOL2","OCT4","SNAIL","KEAP1"
"ZEB",-0.100582145989701,-0.0763767045645365,-0.0296442124250999,-0.0229165069035997,-0.0225537291348104,-0.0225537291348104,0.0201954327233636,0.0301183406375454,0.0314561461957965,0.0420381481904858,0.101387566598242
"OVOL2",-0.0464927571425979,-0.0364413804455479,0.0395619048990575,0.0386150062756901,0.0389606912001528,0.0389606912001528,-0.0391185484269561,-0.0753114827149567,-0.035433662203203,-0.0417160940802128,0.048450420679125
"SNAIL",-0.0469556905343667,-0.0358970485131734,0.0402249509912029,-0.0568825676026802,0.0393823306063869,0.0393823306063869,-0.0385558407444186,-0.0446071322683209,-0.0344333306723301,-0.0413314528713038,0.0496149981108845
"KEAP1",-0.0457173661061779,-0.0343006460156308,0.0429184696943819,-0.0529254106594008,0.0416952921857871,0.0416952921857871,-0.135618236578735,-0.0476020231839354,-0.0304951568109463,0.0656359695688021,0.0512336320184834
"Ecad",0.075542039616921,-0.0218852904965061,0.0305725437090978,0.0283255805406728,0.0245245866841894,0.0245245866841894,-0.12315389793533,-0.0326163295190376,-0.0261915913281454,0.0629326098807743,-0.0735526162978578
"miR200",0.106152038860601,-0.0190356872768608,0.028504796061859,0.0289120582553696,0.0212193288361426,0.0212193288361426,0.0864440202403062,-0.0314495906140161,-0.0248585586685308,-0.0386696107200799,-0.204515205319872
"miR145",-0.00822534941202885,-0.0154183818120429,0.030384501993954,0.0151810297269156,0.0165662867674021,0.0165662867674021,-0.0851722015452551,-0.0244266464037164,-0.128482951083637,-0.0228612754567341,0.00908475700485322
"OCT4",0.140049226492023,0.00203444050010274,-0.142837530980948,0.00216429726327367,-0.00263487281136685,-0.00263487281136685,0.123819527239609,0.00152527187992024,0.141763288918403,-0.0273400568553607,-0.140486289429085
"GRHL2",-0.101387566598242,0.0225537291348104,-0.0314561461957965,-0.025466581087576,-0.0241600392275042,-0.0241600392275042,0.0179721593080372,0.0321300624813598,0.0288097684253698,0.0375770174484363,0.100162076402163
"NRF2",0.0496149981108845,0.0393823306063869,-0.0344333306723301,0.0652098475340016,-0.0343006460156308,-0.0343006460156308,0.0452745377243982,0.0381790867339719,0.0429184696943819,-0.0439614253419284,-0.0457173661061779
"miR34",0.0496149981108845,0.0393823306063869,-0.0344333306723301,0.0652098475340016,-0.0343006460156308,-0.0343006460156308,0.0452745377243982,0.0381790867339719,0.0429184696943819,-0.0439614253419284,-0.0457173661061779
