"","OCT4","GRHL2","Ecad","miR34","OVOL2","miR200","SNAIL","KEAP1","ZEB","NRF2","miR145"
"miR145",0.180221947826458,0.388237977698608,0.388237977698608,0.372206663235384,0.201167749261012,0.172630438533131,-0.0993337604268926,-0.169518214920281,-0.38918747932835,-0.359242855667667,-0.287059439397598
"miR200",0.369057247687855,0.352992497877677,0.352992497877677,0.322888066712069,0.182022534949423,0.141776300277019,-0.0192953586794639,-0.240330909255673,-0.353860562793836,-0.418506884566471,-0.373137930387622
"GRHL2",0.366151834740605,0.350503648250518,0.350503648250518,0.340033773169841,0.179960907095948,0.149848155464966,-0.0970678786970142,-0.14741759990941,-0.350889392968118,-0.321270936442692,-0.371113793060155
"Ecad",0.355305136810004,0.342670912446765,0.342670912446765,0.229195828753932,0.179092112417735,0.118687658496346,0.0214385168619381,-0.115069762080666,-0.342311438414034,-0.405363700835134,-0.361046633408644
"SNAIL",0.115738137764596,0.112950238252903,0.112950238252903,-0.00701944702860476,0.0870190821520594,-0.0315161650286907,-0.0646723181031547,0.0353705645178117,-0.111253590665004,-0.0386796722769007,-0.119601689859516
"OVOL2",0.113032940734509,0.108755382086723,0.108755382086723,0.111631116542385,-0.0232521025741715,-0.0298759426855862,-0.0828744829065159,0.0324490234856286,-0.107679921599498,-0.0382484160512642,-0.115782229711498
"KEAP1",-0.110696787012577,-0.113464732579607,-0.113464732579607,0.00572643557865233,-0.088563959740509,0.0296491348958085,-0.0386190992686795,-0.0387486162725176,0.10967464511605,0.137449464335216,0.120052615233435
"NRF2",-0.120052615233435,-0.10967464511605,-0.10967464511605,0.0114109150336236,-0.0830489853066157,0.0353705645178117,-0.0296386806326227,-0.0296491348958085,0.112950238252903,0.0378313519511457,0.115738137764596
"miR34",-0.120052615233435,-0.10967464511605,-0.10967464511605,0.0114109150336236,-0.0830489853066157,0.0353705645178117,-0.0296386806326227,-0.0296491348958085,0.112950238252903,0.0378313519511457,0.115738137764596
"ZEB",-0.371113793060155,-0.350889392968118,-0.350889392968118,-0.339848313229188,-0.1792480922694,-0.148761476866142,0.0993058056699236,0.149848155464966,0.252307769576472,0.323044824805984,0.371738597808671
"OCT4",-0.20331221680213,-0.367668947832592,-0.367668947832592,-0.344587806926657,-0.189328350059352,-0.256328498511149,0.047317405145852,0.25796020014285,0.372176193049148,0.435897182480543,0.207824033464818
