"","miR200","ZEB","miR145","miR34","Ecad","NRF2","GRHL2","OVOL2","OCT4","SNAIL","KEAP1"
"SNAIL",0.131156815349015,-0.0870687020937269,0.0938299195027788,-0.0266447274173375,0.0873344420773737,0.0173255590014552,-0.0873344420773737,-0.0721397084836533,-0.0931106017423042,-0.0661401716915571,-0.131863835373647
"KEAP1",0.130525403251276,-0.0868172431610286,0.0943570063444135,-0.0254531237782469,0.0877448869458152,-0.0827436209888852,-0.0877448869458152,-0.0728663399319647,-0.0917496443812233,0.036430015705314,-0.132741339130578
"ZEB",-0.11248790751946,-0.0753416841464173,-0.0316828555602151,-0.0249392871652481,-0.0245034867884299,0.0168034615795093,0.0245034867884299,0.0314780465200124,0.0320473249968495,0.0416916027974817,0.112034059398775
"OVOL2",-0.0424819326756937,-0.0379341082746134,0.0391418923417629,0.038080148940791,0.0385698777339123,-0.0398843521199779,-0.0385698777339123,-0.0744998265543147,-0.0374612924968952,-0.0438581746847647,0.0408213671284498
"miR145",0.137315162747444,-0.0359069750327155,0.0475054310086926,0.0364723494415533,0.0364029833467596,-0.0198921223202849,-0.0364029833467596,-0.0360786668967481,-0.146035437751781,-0.0417584321410607,-0.1386084460182
"Ecad",0.148859710230419,-0.0330945261834111,0.0399478932440117,0.0355797073922247,0.033482379745042,-0.110460102153578,-0.033482379745042,-0.0361937115230002,-0.038859457869862,0.0543642263295009,-0.149925772515318
"GRHL2",0.112034059398775,-0.0245034867884299,0.0320473249968495,0.025820221883349,0.0247740838291346,-0.0170636318727922,-0.0247740838291346,-0.0319374160748991,-0.0312864913878518,-0.0398806487338774,-0.112851052862827
"miR200",0.100111328307638,-0.0188485738209896,0.0265109330977301,0.0266462408775148,0.0192206016422006,0.0813235490656241,-0.0192206016422006,-0.029636392749781,-0.0255334311582421,-0.0400485045631688,-0.20113554578634
"OCT4",-0.221434816036409,0.0291833167782389,-0.137639876004002,-0.0293683430673697,-0.0283106884858684,-0.0805134997516145,0.0283106884858684,0.0319391418547891,0.139716743991589,0.046107336855941,0.219132951234544
"NRF2",-0.131863835373647,0.0873344420773737,-0.0931106017423042,0.0281569773017726,-0.0868172431610286,-0.0175291558796364,0.0868172431610286,0.0712958505236374,0.0943570063444135,-0.0308256943008575,0.130525403251276
"miR34",-0.131863835373647,0.0873344420773737,-0.0931106017423042,0.0281569773017726,-0.0868172431610286,-0.0175291558796364,0.0868172431610286,0.0712958505236374,0.0943570063444135,-0.0308256943008575,0.130525403251276
