"","SNAIL","ZEB","OVOL2","GRHL2","Ecad","OCT4","miR145","miR200","KEAP1","miR34","NRF2"
"ZEB",-0.093643254961758,-0.0653985159172669,-0.0305437923869172,-0.0249291166217518,-0.0249291166217518,-0.0165472755168853,-0.00685238850241066,-0.00428201448163278,0.0138256094701268,0.0351247944549444,0.0564282681997914
"OVOL2",0.0790779681852787,-0.0346897807433186,-0.0444840288530318,0.0503285210879413,0.0503285210879413,0.0250403814067801,0.0405794661262492,-0.0585017707316888,0.0738606757133855,-0.054818400608613,-0.0384582394918829
"SNAIL",-0.0304771158811592,-0.033689143852686,0.0562976970744021,0.0517083588976573,0.0517083588976573,0.0238181949167683,0.0416824885763901,-0.0560896518266171,0.0738746265107388,-0.111955956940525,-0.036773143872091
"KEAP1",0.0681220385153218,-0.0288777210189939,0.0630728446154047,0.0578467112124738,0.0578467112124738,0.0180135022240285,0.0465411095859917,-0.051180112611636,0.0798929838987647,-0.117022320864685,-0.129152422752608
"GRHL2",0.0881073303445613,-0.0249291166217518,0.0447050469410119,0.0373362788072547,0.0373362788072547,0.00430777832866168,0.0165472755168853,0.0138256094701268,-0.00175453103875422,-0.0464934888169622,-0.0407234432234432
"Ecad",0.128013721213849,-0.0240731302322593,0.046737125580468,0.0394359152100287,0.0394359152100287,0.003779230712257,0.0189084824129373,0.0185688486156584,-0.00353485214121876,-0.139601324756393,-0.139412168364557
"miR200",0.00623099040829827,-0.0228090975679879,0.045211333318795,0.0367358781794075,0.0367358781794075,0.00194084997627105,0.0156724248405069,0.0187605192459008,-0.105139383991761,-0.0294352209787066,0.0628463137284491
"OCT4",0.0217675239593178,-0.00167435442905511,0.00172949880368614,0.00283519023083239,0.00283519023083239,-0.0705155557814303,-0.0693458255355482,-0.0718282033713186,0.0730228420659573,-0.0061087186776997,-0.0830456383507203
"miR145",-0.0780442997038769,0.0102555145209482,-0.032509305340031,-0.0207000324481058,-0.0207000324481058,0.115792823137152,0.00555681504544635,0.000320867181173627,-0.0104585392712863,0.0283230552800734,0.0338614691742378
"NRF2",-0.0781828082654906,0.0517083588976573,-0.0304212741259964,-0.0288777210189939,-0.0288777210189939,-0.0465411095859917,-0.0238181949167683,0.0738746265107388,-0.051180112611636,0.0916231298917239,0.0656499677607914
"miR34",-0.0781828082654906,0.0517083588976573,-0.0304212741259964,-0.0288777210189939,-0.0288777210189939,-0.0465411095859917,-0.0238181949167683,0.0738746265107388,-0.051180112611636,0.0916231298917239,0.0656499677607914
