"","NRF2","ZEB","miR200","miR34","OVOL2","miR145","GRHL2","Ecad","OCT4","KEAP1","SNAIL"
"ZEB",-0.127754555699933,-0.0709543942843896,-0.0266051286681256,-0.0190483831525987,-0.0179838362134257,-0.00927856775980499,-0.00622166593877781,-0.00622166593877781,0.0368220437568892,0.0550505390491023,0.105673012620854
"OVOL2",-0.0118303565385452,-0.0249732597811332,-0.0374109987965252,0.0570670995484436,-0.0384639297951946,0.0557712638195942,0.0549732597811332,0.0549732597811332,-0.0198581379038827,0.0745959953480664,-0.0493361378069199
"SNAIL",-0.0141248698940507,-0.0240733258744769,-0.0357056623772833,-0.0397222411131025,0.0620945961121881,0.0572049900677057,0.056335181966055,0.056335181966055,-0.0186658725297005,0.0756682587372705,-0.0408163519182745
"KEAP1",-0.115441011342602,-0.0191379075222491,-0.0294408723569205,-0.0338408608359347,0.0682812013248285,0.063296745012922,0.062207083244486,0.062207083244486,-0.0122231253810201,0.0825761858882736,0.0640293790757777
"Ecad",0.219972081348886,-0.00880438212610925,0.104169608957283,0.126165386586786,0.0352118210547577,0.0283102231902164,0.0229090079893199,0.0229090079893199,-0.0114938966596042,-0.0867684505588947,-0.122638524201344
"GRHL2",0.121746987109583,-0.00622166593877781,0.0550505390491023,0.0451611427965156,0.0464647486164037,0.0368220437568892,0.0327459333116836,0.0327459333116836,-0.0053632280109415,-0.0223708004870108,-0.084559938415907
"miR145",-0.0800514285556097,-0.00569445946833746,0.0738953809846082,-0.0255541460787025,-0.0333364469520835,0.0981307746627917,-0.0156716891452012,-0.0156716891452012,-0.223336438856993,-0.100103140684233,0.0734886884769029
"miR200",0.222288477584205,-0.00524823240765759,0.0567461471945554,0.0477879226077884,0.0472576751616737,0.0372042584883712,0.0332258029042339,0.0332258029042339,-0.0040157402571842,-0.122257777327608,-0.0706399306952382
"OCT4",-0.122497407683391,-0.00158446724529364,-0.13906943577557,-0.00147803700483485,0.00222152753690428,-0.136317195428987,0.00348183334888823,0.00348183334888823,0.138585039783248,0.141458713164847,0.0269153695675102
"NRF2",0.00567559944953088,0.056335181966055,0.0756682587372705,0.0764851018408315,-0.0221161173219067,-0.0186658725297005,-0.0191379075222491,-0.0191379075222491,0.063296745012922,-0.0294408723569205,-0.0290530117563989
"miR34",0.00567559944953088,0.056335181966055,0.0756682587372705,0.0764851018408315,-0.0221161173219067,-0.0186658725297005,-0.0191379075222491,-0.0191379075222491,0.063296745012922,-0.0294408723569205,-0.0290530117563989
