"","ZEB","OVOL2","miR145","miR34","GRHL2","Ecad","miR200","KEAP1","OCT4","SNAIL","NRF2"
"SNAIL",-0.0860518499327048,0.0832234059799209,0.106443493556604,-0.0151366050625468,0.0998243356236288,0.0998243356236288,0.103618143709052,-0.0944816204230049,-0.0897063782432932,-0.056240638088009,0.0102298964714115
"KEAP1",-0.0837419121772779,0.0861880558353988,0.109313281407243,-0.0119582333375437,0.102586333062515,0.102586333062515,0.105115537175469,-0.0929043160533563,-0.086460520671047,0.0475346865536879,-0.0870785816780228
"ZEB",-0.0715711139645116,-0.0184943357423591,-0.00979960706440893,-0.00750881177996451,-0.00675815584737996,-0.00675815584737996,-0.0012311293475753,0.0157542692095032,0.0363121552264416,0.053660995977282,0.0558794600632728
"OVOL2",-0.0260723853324819,-0.038928590578869,0.0554544467953934,0.0562192458148672,0.0546344768357499,0.0546344768357499,-0.0540989745470918,0.0731609937523547,-0.0207823792266611,-0.0247932058223488,-0.0315416703292009
"Ecad",-0.0193189119848455,0.0510468984404223,0.0474184899365437,0.0475048432626292,0.0435928690371584,0.0435928690371584,0.0815463193406287,-0.0655050199198279,-0.0181667892562716,0.0734790396430069,-0.120341247253324
"miR200",-0.00418941570227806,0.0445257387154848,0.0334649839444854,0.0368239501420694,0.0294172153464254,0.0294172153464254,0.00556082199716061,-0.0888574621809454,-0.00306932839754981,-0.0190594465283069,0.0669911517972694
"OCT4",0.00324771982239062,-0.00230332047213797,-0.144217863073313,0.000920313477795775,-0.00410433658646075,-0.00410433658646075,0.133060086879056,-0.133526287345257,0.1430958769191,-0.0262064823642043,0.121513400397417
"miR145",0.00510700901528586,0.0331915969712754,0.0246595020605019,0.0171460848891164,0.0155883474021169,0.0155883474021169,-0.100235557879538,0.113927673023468,-0.0998584231663684,-0.00563369146166514,-0.0926890364940222
"GRHL2",0.00675815584737996,-0.0459931477176482,-0.0363121552264416,-0.0360232776553354,-0.0322115498251565,-0.0322115498251565,-0.0157542692095032,-0.00111664582317655,0.00568033253375225,0.0185903245991902,0.0297678233556096
"NRF2",0.0998243356236288,-0.0658082165366406,-0.0897063782432932,0.0331845480064813,-0.0837419121772779,-0.0837419121772779,-0.0944816204230049,0.105115537175469,0.109313281407243,-0.0214036939811018,0.00622751784823556
"miR34",0.0998243356236288,-0.0658082165366406,-0.0897063782432932,0.0331845480064813,-0.0837419121772779,-0.0837419121772779,-0.0944816204230049,0.105115537175469,0.109313281407243,-0.0214036939811018,0.00622751784823556
