"","ZEB","miR145","KEAP1","miR200","OVOL2","GRHL2","Ecad","miR34","SNAIL","OCT4","NRF2"
"OVOL2",-0.0970467165828124,0.104582331322627,-0.0242973895554018,-0.0216182023306153,-0.029269365884341,0.0974448152162051,0.0974448152162051,0.101730054801521,-0.0801741453769923,-0.102970679163702,-0.0351634163466956
"ZEB",-0.0589819778046554,-0.0465005632280633,-0.0445773973110177,-0.0433436974900001,-0.0418037948991401,-0.0415608137455929,-0.0415608137455929,-0.0385638450854452,0.0339755558234229,0.0465734571153902,0.134957399056914
"NRF2",-0.0446413721416268,0.0394010444140685,0.103831000711319,0.0869314566607236,0.0406121661962363,0.0398223917623476,0.0398223917623476,0.0937254069160715,-0.0612401396939707,-0.0511460108570215,-0.0663333192049814
"miR34",-0.0446413721416268,0.0394010444140685,0.103831000711319,0.0869314566607236,0.0406121661962363,0.0398223917623476,0.0398223917623476,0.0937254069160715,-0.0612401396939707,-0.0511460108570215,-0.0663333192049814
"GRHL2",-0.0415608137455929,0.0465734571153902,0.0410439005789916,0.0445773973110177,0.0422077233008509,0.0412441576341299,0.0412441576341299,0.0393056848480565,-0.0318995840919742,-0.0451179493416555,-0.137275279851616
"Ecad",-0.033791742752438,0.0382936731361992,0.0403498376568906,0.0385282981622209,0.0343587801054943,0.0318240954153838,0.0318240954153838,0.0316203795215903,0.0621615173233528,-0.0406610200749747,-0.215368106087346
"miR145",-0.0256255661479466,0.036307633281708,0.0329606417997977,0.0361896780951669,0.0311041160877943,0.0256491855914725,0.0256491855914725,0.0227563992875096,-0.0174590943311408,-0.134729750611445,-0.166660188551353
"OCT4",-0.00214350919615369,-0.136597940453043,-0.134260157433892,-0.132541043214778,0.00194531932827245,0.00317625277152796,0.00317625277152796,0.00739878015949823,-0.0261212343346442,0.138292855707281,0.119125606888558
"KEAP1",0.0398223917623476,-0.0511460108570215,-0.0772869177315927,-0.103831000711319,-0.0543448177667257,-0.0493903747997183,-0.0493903747997183,-0.107116933422352,0.0416587757506891,0.0310539863171442,-0.0307752459886902
"SNAIL",0.0425410041939571,-0.0456969287299751,-0.0869314566607236,-0.0968799126202182,-0.0481955608838956,-0.0446413721416268,-0.0446413721416268,-0.101431937986533,-0.050938537086476,0.0394010444140685,0.0697605333210316
"miR200",0.0486236812608197,-0.0527981642046644,0.0525019479660088,-0.0483691154971864,-0.0449631084775222,-0.0472380124194977,-0.0472380124194977,-0.0465116992907195,0.0367838456015051,0.0534343162605217,0.0423807462101077
