"","NRF2","ZEB","OVOL2","miR34","miR145","miR200","GRHL2","Ecad","KEAP1","OCT4","SNAIL"
"ZEB",-0.0999233999350272,-0.0867670194663501,-0.0249260430469033,-0.0222513207657825,-0.0185530377016233,-0.0179462333931229,-0.0119854497902924,0.0119854497902924,0.0195954279725144,0.0207919213838059,0.0864861305221132
"SNAIL",0.0916884631373925,-0.0819098829951673,0.0703419968433907,-0.0269788598758994,0.0896688295613565,0.103975819918309,0.0831874790703921,-0.0831874790703921,-0.102310901795789,-0.0873773946336591,-0.0760543611116568
"KEAP1",-0.00869605320709754,-0.0812254069909241,0.0717096001789755,-0.0255473153010099,0.0908769152472737,0.104825977542223,0.0842203712103781,-0.0842203712103781,-0.101007024218319,-0.0855088170877644,0.0258286418251067
"miR145",0.158092292143539,-0.0223897909945474,0.0315429324872661,0.0354990255949375,0.0355843963134711,0.026992771637314,0.0249548625614613,-0.0249548625614613,-0.0235467975029794,-0.131012582422709,-0.0963339727283007
"Ecad",0.0180729842626794,-0.0218548539022484,0.0321690342618528,0.0347553223290267,0.0300180264161359,0.0843971232591649,0.0239643988838017,-0.0239643988838017,-0.0816354343478915,-0.0262629243753195,0.0293148606290619
"GRHL2",0.0994503630381493,-0.0119854497902924,0.0274446554340409,0.0248013949497588,0.0207919213838059,0.0195954279725144,0.0139026586106045,-0.0139026586106045,-0.0170627482339523,-0.0173847100043815,-0.0830850704514418
"miR200",0.192134645312634,-0.0074846212285677,0.0256019424050631,0.025807018309735,0.0164728177200676,0.00839590818762573,0.00957121205188144,-0.00957121205188144,-0.10566785228641,-0.0127645167115338,-0.0694863147096895
"OCT4",-0.230663384666336,0.018557833922051,-0.0243597969009546,-0.0263011045483426,-0.123647010515921,-0.115678019657964,-0.0149952688752173,0.0149952688752173,0.120543987023931,0.130116334937024,0.0881920231923043
"OVOL2",-0.0838741151988986,0.0771496781715687,-0.0909806533522049,-0.0878008151979127,-0.0849311243393942,-0.0885840157498266,-0.0779934096035354,0.0779934096035354,0.0874009291139308,0.0834056567878989,0.104225001488587
"NRF2",-0.0922313881458757,0.0831874790703921,-0.0677651151534094,0.0296137406789107,-0.0873773946336591,-0.102310901795789,-0.0812254069909241,0.0812254069909241,0.104825977542223,0.0908769152472737,-0.0204268862545463
"miR34",-0.0922313881458757,0.0831874790703921,-0.0677651151534094,0.0296137406789107,-0.0873773946336591,-0.102310901795789,-0.0812254069909241,0.0812254069909241,0.104825977542223,0.0908769152472737,-0.0204268862545463
