"","ZEB","OVOL2","OCT4","miR34","GRHL2","Ecad","miR200","KEAP1","miR145","NRF2","SNAIL"
"NRF2",-0.0857264261468174,0.0712919893808111,0.0924329733580621,0.126462565761605,0.0861779490102934,0.0861779490102934,0.104769253620531,-0.105195786934253,-0.0925288506351475,0.00902971233011379,-0.0740966834660172
"miR34",-0.0857264261468174,0.0712919893808111,0.0924329733580621,0.126462565761605,0.0861779490102934,0.0861779490102934,0.104769253620531,-0.105195786934253,-0.0925288506351475,0.00902971233011379,-0.0740966834660172
"ZEB",-0.0799902378847969,-0.029584828673335,-0.026853037814508,-0.0207856868966174,-0.0203781485116011,-0.0203781485116011,-0.0167410237156295,0.0161401543727504,0.0278735522370843,0.0321763487230349,0.036017370728962
"miR145",-0.0334182707306306,0.0328598529500219,-0.177552368095368,0.0320446520805972,0.0322231268882196,0.0322231268882196,0.0254246050867476,-0.0256165116366016,0.0793730019456713,-0.0352533548764168,-0.0381550820907957
"miR200",-0.0274503032033921,0.0323934717052771,0.0361657185618909,0.0320250978646717,0.0266469387778785,0.0266469387778785,0.0237069208758284,-0.124558840087085,-0.0343193260095247,0.0655365216775138,-0.0410828389220692
"GRHL2",-0.0203781485116011,0.0283809636329422,0.0286393428095461,0.0204147670153118,0.0195202983187287,0.0195202983187287,0.0161401543727504,-0.0168550236537962,-0.026853037814508,-0.0333825928100737,-0.0359437547101163
"Ecad",-0.00626475988902852,0.0192671086542844,0.0147174269916078,0.0105141864183369,0.00563095041026587,0.00563095041026587,0.0132219483924704,-0.0140193965583396,-0.0131119848147371,-0.12793795084968,0.0659509037077071
"OCT4",0.0307163511459053,-0.0349940893654722,0.139966786169243,-0.0325087026544842,-0.032533659607998,-0.032533659607998,-0.125474462047885,0.125707562280986,-0.137460221356639,-0.0657262220566319,0.0424368006480913
"OVOL2",0.0812540533958367,-0.0917849353460315,-0.0885087401561525,-0.0865315353171209,-0.0808737800743869,-0.0808737800743869,-0.0896161681893188,0.0899079608573649,0.0877589340715192,-0.00688192762078726,0.082653703639612
"SNAIL",0.0860381595891723,-0.071014479044967,-0.0925288506351475,-0.126521999163176,-0.0857264261468174,-0.0857264261468174,-0.1047920607181,0.104769253620531,0.0921951465194634,-0.00919937639526479,-0.0269779056616693
"KEAP1",0.0861779490102934,-0.071401558409299,-0.091666102192418,-0.126867079280872,-0.0857803873882419,-0.0857803873882419,-0.105195786934253,0.104017097636752,0.0924329733580621,-0.110066264430496,0.071935981237793
