"","miR145","GRHL2","Ecad","miR34","miR200","OVOL2","SNAIL","NRF2","KEAP1","ZEB","OCT4"
"GRHL2",0.651838415215675,0.640026450813632,0.640026450813632,0.593419282539881,0.49176793437252,0.336190450293045,-0.192239147166274,-0.252143509586258,-0.46519522195422,-0.670293017685646,-0.609066334501153
"miR200",0.620453720484177,0.608473240265824,0.608473240265824,0.559629514032596,0.471437284644407,0.321897544004471,-0.168049373764321,-0.137829458378485,-0.546616762006329,-0.635307768760998,-0.580127886504348
"Ecad",0.605546736940062,0.593811039157431,0.593811039157431,0.443033289352226,0.396544466638558,0.316681222875579,-0.0530715354147569,-0.342214788934071,-0.372293648204914,-0.619012060820471,-0.565846056667953
"miR145",0.572445806061324,0.556686902330136,0.556686902330136,0.520126404356974,0.328867196641478,0.292321594957186,-0.162356728387235,-0.261536408480554,-0.307215131560126,-0.581766027465948,-0.637637984078856
"OVOL2",0.375475391637546,0.366004679609592,0.366004679609592,0.348840543409402,0.309826808761082,0.107482248681515,-0.162066822099211,-0.0938865743795025,-0.296356598139829,-0.381815731302996,-0.353765489026153
"SNAIL",0.200632915673076,0.195508855265995,0.195508855265995,0.0597444661313725,0.0507992971942019,0.1331661315871,-0.0735846646923387,-0.0988853467778354,-0.0421554072156406,-0.198748838912765,-0.184681858943376
"KEAP1",0.183291638425639,0.178693971067146,0.178693971067146,0.0464859825450958,0.0391402579289808,0.126316128114136,0.0377884010230453,-0.187765584311229,-0.0256089047936673,-0.180575762744856,-0.157831515726253
"OCT4",-0.14565057868441,-0.00563392055297025,-0.00563392055297025,-0.000309196171187575,0.137996709376806,-0.00313014206814748,-0.0264321646769304,0.125098534525584,-0.138812560192657,0.0055298456190178,0.144194383888516
"NRF2",-0.184681858943376,-0.180575762744856,-0.180575762744856,-0.0432285842057303,-0.0421554072156406,-0.121312475813186,-0.0147634179035315,0.102550090585097,0.0391402579289808,0.195508855265995,0.183291638425639
"miR34",-0.184681858943376,-0.180575762744856,-0.180575762744856,-0.0432285842057303,-0.0421554072156406,-0.121312475813186,-0.0147634179035315,0.102550090585097,0.0391402579289808,0.195508855265995,0.183291638425639
"ZEB",-0.683172373353757,-0.670293017685646,-0.670293017685646,-0.618530558504273,-0.512478750020692,-0.349781452985901,0.207477663067334,0.268676149132142,0.49176793437252,0.599794183352745,0.651838415215675
