"","miR34","ZEB","miR200","miR145","GRHL2","Ecad","OVOL2","NRF2","OCT4","KEAP1","SNAIL"
"NRF2",0.309527743067273,-0.113177255158408,0.272374481462117,0.116498347776181,0.110459908470944,0.110459908470944,0.0836175926101106,0.0535286494695546,-0.120093745666881,-0.276507442191636,-0.546418760265383
"miR34",0.309527743067273,-0.113177255158408,0.272374481462117,0.116498347776181,0.110459908470944,0.110459908470944,0.0836175926101106,0.0535286494695546,-0.120093745666881,-0.276507442191636,-0.546418760265383
"OVOL2",0.104020035838836,-0.0972266981334597,-0.0199888320654116,0.105321543712338,0.0982070902903224,0.0982070902903224,-0.0287122504516293,-0.0648997605229058,-0.103003177772495,0.0230606130617509,-0.0903977154012262
"ZEB",-0.0556197106202503,-0.0551996530986118,-0.0538150404876869,-0.0480747697880455,-0.0433641738487641,-0.0433641738487641,-0.0421315249848952,0.0396864227083882,0.0508551509189421,0.0574522176802208,0.121032145943881
"GRHL2",0.0581419658131287,-0.0433641738487641,0.0574522176802208,0.0508551509189421,0.045626825699763,0.045626825699763,0.0454817546696726,-0.0335132912041309,-0.04569471426661,-0.0507324464383908,-0.117542746650595
"miR145",0.0430649935703575,-0.0280586769488025,0.0496615666691243,0.0402864865840794,0.0297828963261939,0.0297828963261939,0.033956691608239,-0.0213903937551075,-0.136173202700061,-0.0442297769319529,-0.119600519414684
"Ecad",0.00307275305925682,-0.0224612443614964,0.0189319097532239,0.0298503040588122,0.0237761625338548,0.0237761625338548,0.0318002476840207,-0.136298933348128,-0.0271836373921455,-0.0154818971619371,0.174192301104479
"OCT4",-0.0160640605094113,0.00399734292253218,-0.148914280867518,-0.144369674637253,-0.00427754466778876,-0.00427754466778876,-0.00232089586838583,-0.123883081636032,0.143534153033052,0.147865329818567,0.0695940131642524
"miR200",-0.0215766544161881,0.0373252223174659,-0.0317708326330056,-0.0450796944188085,-0.0399186336508352,-0.0399186336508352,-0.0430659136104931,0.139746365988774,0.0396956757997239,-0.0750923816868948,-0.0398908661165698
"KEAP1",-0.311550310663611,0.110459908470944,-0.276507442191636,-0.120093745666881,-0.113507880906671,-0.113507880906671,-0.0884751528730762,-0.161548289404088,0.111198040145409,0.264861991932325,0.537573385518591
"SNAIL",-0.313443743859718,0.112068301765113,-0.276821865488026,-0.119813141991976,-0.113177255158408,-0.113177255158408,-0.0869986879264157,-0.0596704886280209,0.116498347776181,0.272374481462117,0.44662946401591
