"","OVOL2","ZEB","miR34","miR200","miR145","GRHL2","Ecad","OCT4","KEAP1","NRF2","SNAIL"
"SNAIL",0.139308750716855,-0.0951368269576185,-0.168831811375326,-0.173849540461544,0.11246513115021,0.105817530146498,0.105817530146498,-0.0988129249952231,0.185029579689751,-0.122066105270914,0.368077719635684
"KEAP1",0.140020487098542,-0.0928383001982182,-0.165239839525554,-0.170571571159085,0.114728552991388,0.108078162376856,0.108078162376856,-0.0947899026846395,0.185894532026601,-0.217314048985022,0.465719374159498
"ZEB",-0.130361790426464,-0.0769919953198911,-0.0206932955244189,-0.0120893989802139,-0.00839061204520333,-0.00522401792066347,-0.00522401792066347,0.0309252366416836,0.0312277267736171,0.0465216756264985,0.110822133981713
"Ecad",0.154601136342184,-0.019639500219303,0.0190140633590763,0.0138660295636785,0.0438984720546156,0.0399781625975075,0.0399781625975075,-0.0185379278369285,0.00766507091479041,-0.137881036195292,0.173932718943575
"miR145",0.162019819816244,-0.00999915197141565,0.0490662510174012,0.0384813060704384,0.0398047076420354,0.0334721549474655,0.0334721549474655,-0.111038692807241,-0.0135251108263834,-0.0198289123262672,-0.116557117231969
"GRHL2",0.141149054801563,-0.00522401792066347,0.0410197050199679,0.0312277267736171,0.0309252366416836,0.0266702727424724,0.0266702727424724,-0.00439529949315564,-0.00835190978015305,-0.0203627352291475,-0.0975123577744104
"miR200",0.135330895838175,-0.00236424627683432,0.0546797817271317,0.0425874970274927,0.027838712979547,0.023645315991613,0.023645315991613,-0.00157028784378284,-0.119757976591004,0.0852113150236127,-0.152296478714139
"OCT4",-0.136623729767982,0.0293360962484227,-0.026747817991065,-0.11668685003064,-0.107271308806764,-0.00294109184525246,-0.00294109184525246,0.1417186709457,0.145358178701968,-0.0490840635866865,0.152673023689947
"NRF2",-0.132642839180354,0.105817530146498,0.180632643442948,0.185029579689751,-0.0988129249952231,-0.0928383001982182,-0.0928383001982182,0.114728552991388,-0.170571571159085,0.137335871134504,-0.458764613862401
"miR34",-0.132642839180354,0.105817530146498,0.180632643442948,0.185029579689751,-0.0988129249952231,-0.0928383001982182,-0.0928383001982182,0.114728552991388,-0.170571571159085,0.137335871134504,-0.458764613862401
"OVOL2",0.0294439886432863,0.170331550409435,-0.197302431860671,-0.254543999147937,-0.189231146726357,-0.175298870670873,-0.175298870670873,0.183293027274492,0.24911665552228,-0.0149846600185492,0.192171179721911
