"","OVOL2","SNAIL","GRHL2","Ecad","OCT4","miR34","miR145","ZEB","KEAP1","miR200","NRF2"
"OVOL2",0.286894879151017,0.117306311652242,0.12681095064493,0.12681095064493,0.0974388079702718,0.107672095078554,0.110254459094981,-0.11382224000916,0.171107815105037,-0.161913693400968,-0.129592537391153
"GRHL2",0.203628297092863,0.0960463088901086,0.0848861608430533,0.0848861608430533,0.0284240338236667,0.057639986225714,0.0523737526460286,-0.0603539482804417,0.012981540552765,0.00427744637533962,-0.0702895683620874
"miR200",0.198800445020579,0.0212335108892798,0.0835410732337476,0.0835410732337476,0.0266500860352002,0.0568969468966379,0.0512427935604136,-0.0582809233442776,-0.091045350059489,0.00885907648812879,0.0328746359030066
"miR34",0.0761794843552306,0.0377989950940057,0.0329850675841625,0.0329850675841625,0.0507769243481223,-0.0448353742321278,0.0272390528236736,-0.0576217969167296,0.0381094213856489,-0.055714951610682,-0.0618878537108937
"Ecad",0.200437602815156,0.109724042388044,0.0808154396284586,0.0808154396284586,0.0260358776609448,0.0619271078782788,0.0507977824228496,-0.0553684620482865,0.00425211513678075,0.0136862714996668,-0.163225919189236
"SNAIL",0.0886108147057998,-0.0695124250492728,0.0576217969167296,0.0576217969167296,0.0272390528236736,-0.0267874312881934,0.0467347888266398,-0.0372926881677517,0.055714951610682,-0.0412689360106273,-0.035318461108247
"KEAP1",0.0908982571821116,0.028751054513317,0.0626431645891983,0.0626431645891983,0.0222493169861591,-0.0230980951177996,0.0507769243481223,-0.0329850675841625,0.05918438602497,-0.0381094213856489,-0.129427406356829
"ZEB",-0.191748049983724,-0.103702374850061,-0.0603539482804417,-0.0603539482804417,-0.0523737526460286,-0.0395483690150315,-0.0328902579048019,-0.0189754816994483,0.00427744637533962,0.0105653048391835,0.0977493602258528
"miR145",0.148342181543015,0.0820938626369747,0.0293238494956917,0.0293238494956917,0.00450446788429057,0.0167905289010903,-0.0811057816099778,-0.0143443984115592,0.110121028467751,-0.0996162308040044,-0.10371130103039
"OCT4",-0.158242854533751,-0.0441314276039231,-0.0274963265371357,-0.0274963265371357,-0.0683504186980314,-0.0169012775496222,-0.0454571267429108,0.0517778092046563,0.0406956657687038,-0.0229800480530861,0.0153430890875973
"NRF2",-0.0761794843552306,-0.0377989950940057,-0.0329850675841625,-0.0329850675841625,-0.0507769243481223,0.0448353742321278,-0.0272390528236736,0.0576217969167296,-0.0381094213856489,0.055714951610682,0.0618878537108937
