"","KEAP1","SNAIL","ZEB","OVOL2","miR145","GRHL2","Ecad","OCT4","miR34","miR200","NRF2"
"ZEB",-0.100767907327005,-0.0889878998260004,-0.0865583978841673,-0.0255876922129885,-0.0194590248702732,-0.0128454212327731,-0.0128454212327731,0.0207919416671075,0.0237716279912303,0.100729553964693,0.115225036802561
"OVOL2",0.0860518924819221,0.0804275631447002,-0.0342809040344125,-0.0557941375096774,0.0371472101519167,0.0364971844859871,0.0364971844859871,-0.0326742290263458,-0.0415085939962195,-0.0861420829429545,-0.0584693031321317
"SNAIL",0.101473116230171,-0.0290970176278124,-0.0336675869965116,0.0437343594780021,0.0380921370033587,0.0372193040856367,0.0372193040856367,-0.0314254703366921,-0.100173879656443,-0.101559783200932,-0.0619102147193972
"KEAP1",0.101434629831576,0.0693139972415271,-0.0315465350190576,0.047934027753016,0.0418760935389931,0.0405314276774196,0.0405314276774196,-0.0259251732935943,-0.103129732883427,-0.101576072547277,-0.158718401394668
"Ecad",0.13417974157751,0.127678562410685,-0.0134394161124058,0.028449823857589,0.0215390756553541,0.0159084351266902,0.0159084351266902,-0.0168315926621569,-0.119725741792234,-0.134255289298488,-0.223869976014962
"GRHL2",0.100706632817201,0.0873830706151641,-0.0128454212327731,0.0271479646666555,0.0207919416671075,0.013899022476368,0.013899022476368,-0.0185094408401144,-0.0251440315520612,-0.100767907327005,-0.114089748250054
"miR200",-0.00852210777183523,0.00573182943170937,-0.0101206526666349,0.0269160481331272,0.0188779392353344,0.0119915751877974,0.0119915751877974,-0.0152317018420062,-0.0100397972464295,-0.091544897109949,-0.00880112535105258
"OCT4",0.142712556481366,0.0275012888440102,-0.001905840819584,0.00159139469937022,-0.13710349998159,0.00268239994215225,0.00268239994215225,0.138368718410809,-0.00700925580610392,-0.142712556481366,-0.124537978970028
"miR145",-0.110094965773688,-0.0884658847254669,0.00642624652603229,-0.0199497165481935,0.102434764199523,-0.0070828670560526,-0.0070828670560526,-0.203985674516448,0.0171399804891172,0.110170059641022,0.148649776066488
"NRF2",-0.101576072547277,-0.0753909722584075,0.0372193040856367,-0.0361736186953097,-0.0314254703366921,-0.0315465350190576,-0.0315465350190576,0.0418760935389931,0.0944220471265614,0.101473116230171,0.0676109273084709
"miR34",-0.101576072547277,-0.0753909722584075,0.0372193040856367,-0.0361736186953097,-0.0314254703366921,-0.0315465350190576,-0.0315465350190576,0.0418760935389931,0.0944220471265614,0.101473116230171,0.0676109273084709
