"","miR34","miR200","GRHL2","Ecad","miR145","OVOL2","ZEB","NRF2","OCT4","KEAP1","SNAIL"
"miR34",0.420066676976957,0.343660651820665,0.253046633515069,0.253046633515069,0.264210377926022,0.161935764493657,-0.27393982783409,-0.0177123305921717,-0.274996571598121,-0.354235736391926,-0.610135088089889
"KEAP1",0.426347281618218,0.354235736391926,0.264416895905739,0.264416895905739,0.274996571598121,0.177129336443986,-0.253046633515069,-0.0975813976952814,-0.245702093070514,-0.328728899994,-0.595077694436952
"Ecad",0.275576723307721,0.208828907861287,0.139230413121939,0.139230413121939,0.14060421470108,0.110919126832749,-0.0853849869560138,-0.113913516278192,-0.0762504732044811,-0.150615191752834,-0.399782250026785
"GRHL2",0.134450172005066,0.116112510201091,0.111869340598881,0.111869340598881,0.112592184638561,0.0987414242149836,-0.0487972005793056,-0.020506132967965,-0.0406768687272151,-0.0508143075867118,-0.230527323442602
"miR145",0.132654520550686,0.114557618320731,0.112014350468078,0.112014350468078,0.11292138507208,0.0989828495519774,-0.0477363968566649,-0.0201193082856351,-0.139327318989814,-0.0476823575781357,-0.232711986646566
"miR200",0.0857752543738019,0.0829108616460464,0.0978563062382086,0.0978563062382086,0.0989051459177616,0.0906729355981667,-0.0370216699088831,0.0737932235301522,-0.0311161622094606,-0.121314231034388,-0.0491650914841061
"OVOL2",0.100278802159837,-0.00470643706413675,0.0932396516471296,0.0932396516471296,0.093665049158903,-0.0100579654417486,-0.0269176076780268,-0.0146704830447972,-0.0211579389287901,0.0706038321514093,-0.129156462473979
"ZEB",-0.0823359286816243,-0.0579879896181198,-0.0487972005793056,-0.0487972005793056,-0.0487892064025935,-0.0329961367130035,0.0106807762408885,0.0890018756358931,0.112592184638561,0.116112510201091,0.244838277506207
"OCT4",-0.0509494204413795,-0.135641154037501,-0.0357737632940953,-0.0357737632940953,-0.135682733760031,-0.0243512622624803,0.105560009391285,-0.00566732985593642,0.206272373292139,0.199831130727478,0.13022916766638
"SNAIL",-0.439818377432613,-0.362841420875995,-0.27393982783409,-0.27393982783409,-0.285915976739518,-0.181061323761936,0.261271185152161,0.00125491627252464,0.264210377926022,0.343660651820665,0.515613385603585
"NRF2",-0.420066676976957,-0.343660651820665,-0.253046633515069,-0.253046633515069,-0.264210377926022,-0.161935764493657,0.27393982783409,0.0177123305921717,0.274996571598121,0.354235736391926,0.610135088089889
