"","OVOL2","SNAIL","ZEB","miR145","GRHL2","Ecad","miR200","KEAP1","miR34","OCT4","NRF2"
"OVOL2",0.262754207089894,0.118828591698746,-0.0978407319281782,0.107083981060112,0.099950060508095,0.099950060508095,-0.159000932687177,0.16147851770495,-0.110022752115667,-0.103317713715459,-0.11938185394934
"ZEB",-0.157601040598831,-0.0962749485616565,-0.0560498782397761,-0.0462132371390578,-0.0415173478284555,-0.0415173478284555,-0.00969259330932413,0.0126074488449928,0.0498698167788597,0.0503577753042146,0.0579700228182358
"GRHL2",0.159208834040934,0.0945228873131288,-0.0415173478284555,0.0503577753042146,0.0451157127314435,0.0451157127314435,0.0126074488449928,-0.00837950766852217,-0.0532451876987411,-0.0439072294887994,-0.0520334097624174
"SNAIL",0.083060656572474,-0.0272757644731417,-0.0412133672180117,0.0501736275693412,0.0491089109629013,0.0491089109629013,-0.0598042144938735,0.0690684575263052,-0.109387642951112,-0.0371591670576616,-0.0437752294214668
"Ecad",0.161214948433694,0.133645032150658,-0.0391716387682836,0.0496736682453653,0.0451218799942793,0.0451218799942793,0.0166591113600252,-0.00971711522135319,-0.143968933577228,-0.0396328519188347,-0.149948702367999
"miR200",0.155371678414898,0.0121683552705546,-0.0383455469699753,0.0483581460246955,0.0432466091363634,0.0432466091363634,0.0171688977067893,-0.111435194251252,-0.0347538355269559,-0.0399950738757428,0.0522263105367253
"KEAP1",0.0854755872499114,0.0713933731609383,-0.0375581351645268,0.0559031747278438,0.0543352356150967,0.0543352356150967,-0.0554929317136857,0.0749648789084052,-0.113764352779131,-0.0292160581634266,-0.13593562036894
"OCT4",0.00227904676053691,0.0275676238357183,-0.00208865707104467,-0.136502452269706,0.0032815159294227,0.0032815159294227,-0.139947801553616,0.141346402952218,-0.00749220166355658,0.138292855707281,-0.12366063835072
"miR145",-0.147253660261303,-0.0944413341801685,0.0262970396601366,0.0833946437975989,-0.0289471412237437,-0.0289471412237437,0.103582316698439,-0.106677852785214,0.0376237033387809,-0.188263153575077,0.111837701864508
"NRF2",-0.0775500941892832,-0.0767276067868668,0.0491089109629013,-0.0371591670576616,-0.0375581351645268,-0.0375581351645268,0.0690684575263052,-0.0554929317136857,0.0990528347889246,0.0559031747278438,0.0615220906362615
"miR34",-0.0775500941892832,-0.0767276067868668,0.0491089109629013,-0.0371591670576616,-0.0375581351645268,-0.0375581351645268,0.0690684575263052,-0.0554929317136857,0.0990528347889246,0.0559031747278438,0.0615220906362615
