"","OVOL2","SNAIL","ZEB","miR145","Ecad","miR34","miR200","KEAP1","GRHL2","OCT4","NRF2"
"OVOL2",0.264882954384697,0.110424124664216,-0.0989053426143784,0.109653091715131,0.102529822709447,0.0881354251086701,-0.156604796649611,0.160620924826172,-0.102529822709447,-0.103887341478124,-0.118878718447638
"ZEB",-0.160380031252418,-0.0858738077500608,-0.0517215734393753,-0.047695911015981,-0.0432224567433942,-0.0262613845481287,-0.0109544079309907,0.0164645076497327,0.0432224567433942,0.0550790204609462,0.0609608349399058
"miR145",0.184509155906669,0.0878887123264076,-0.0503456722606776,0.0658148165381308,0.0584093502804234,0.0418233496229147,0.0251182511810319,-0.0161987684943402,-0.0584093502804234,-0.15290854546598,-0.05080595672363
"GRHL2",0.163460975336054,0.0842248089279171,-0.0432224567433942,0.0550790204609462,0.0499528384579431,0.0312873489398201,0.0164645076497327,-0.00905029196345818,-0.0499528384579431,-0.0444935093792393,-0.0510980156400004
"miR34",0.0715681156124268,0.0320576677032721,-0.0423911127465069,0.0342106704615996,0.0341569776180281,-0.0435179236584389,-0.0481523801269799,0.0391363483576021,-0.0341569776180281,-0.0465309005670646,-0.0475275541188082
"miR200",0.159679262505539,0.0117364130820461,-0.0407360538357211,0.0530184076766999,0.0480094673257734,0.0329265707190926,0.0195849262998422,-0.11157305686364,-0.0480094673257734,-0.0416762819978791,0.0518428136604858
"Ecad",0.163374982263929,0.100874526777453,-0.0402294303937603,0.0522281931383668,0.0477594653951793,0.0382745992086784,0.0233132865958043,-0.0150282198619841,-0.0477594653951793,-0.040527512866258,-0.148453810595013
"SNAIL",0.0755835202678043,-0.0698597364265214,-0.0364017423458528,0.0432800067611917,0.0423911127465069,-0.0374226981416985,-0.0415976202857173,0.0481523801269799,-0.0423911127465069,-0.0342106704615996,-0.0359225320624798
"KEAP1",0.0769369980083363,0.0293567899179919,-0.0341569776180281,0.0465309005670646,0.0453682153598781,-0.0351508808651666,-0.0391363483576021,0.0514418646235144,-0.0453682153598781,-0.0296597349228928,-0.131651940370854
"NRF2",-0.0715681156124268,-0.0320576677032721,0.0423911127465069,-0.0342106704615996,-0.0341569776180281,0.0435179236584389,0.0481523801269799,-0.0391363483576021,0.0341569776180281,0.0465309005670646,0.0475275541188082
"OCT4",-0.167407220794488,-0.0379338619418717,0.0539991820262498,-0.148307217364072,-0.0430232793763419,-0.029578985205817,-0.114209013730296,0.126155400676683,0.0430232793763419,0.163752431018882,-0.035572302533532
