"","miR200","SNAIL","miR145","GRHL2","Ecad","OVOL2","ZEB","miR34","NRF2","OCT4","KEAP1"
"miR145",0.163271201621898,0.0881068376080547,0.0766435480718153,0.0686643296937902,0.0686643296937902,0.0551253900309971,-0.0679132313896662,0.0507491877356987,-0.0341351909283248,-0.172530264187796,-0.162662106920188
"GRHL2",0.138003443594514,0.0843810212021077,0.0651749213718252,0.0596525478919148,0.0596525478919148,0.0514960138954736,-0.0594049803865892,0.0395493480136791,-0.032920779390245,-0.0628924205448321,-0.137737920718697
"miR200",0.138274175490071,0.0119388261554314,0.0617918392023165,0.0563950192773494,0.0563950192773494,0.0507210145275786,-0.0558073231539871,0.0397578502903854,0.0699718165167174,-0.0588593333838526,-0.237996583836965
"Ecad",0.110262740229311,0.101124339432812,0.060183729554247,0.0552829595508615,0.0552829595508615,0.0498837112045968,-0.0545923910142992,0.0441674149906882,-0.134363342847296,-0.0570000560848593,-0.109985731919062
"miR34",-0.0229450811133861,0.03118595471322,0.0408243830708307,0.0405685335526289,0.0405685335526289,0.0426397983598283,-0.0419887781959258,-0.0386800531563513,-0.0367316680916188,-0.0445156582386159,0.0231068696116946
"SNAIL",-0.0230226252451198,-0.0693618750381496,0.0428191921179201,0.0419887781959258,0.0419887781959258,0.0450354488100747,-0.0413857528484197,-0.0377753447102046,-0.0348653633749578,-0.0408243830708307,0.0229450811133861
"KEAP1",-0.0231068696116946,0.0299705597098439,0.0445156582386159,0.0432984566907153,0.0432984566907153,0.0472051745468261,-0.0405685335526289,-0.0368703874122593,-0.132967347306021,-0.0371536950484319,0.023436902614995
"ZEB",-0.138348623855317,-0.0846902084812597,-0.0647271446353886,-0.0594049803865892,-0.0594049803865892,-0.0506089554446578,-0.0402622261055537,-0.0394102530581895,0.0336066828907181,0.0651749213718252,0.138003443594514
"NRF2",0.0229450811133861,-0.03118595471322,-0.0408243830708307,-0.0405685335526289,-0.0405685335526289,-0.0426397983598283,0.0419887781959258,0.0386800531563513,0.0367316680916188,0.0445156582386159,-0.0231068696116946
"OVOL2",0.0364381341453309,-0.0789493891599238,-0.050267494097277,-0.0494751136473555,-0.0494751136473555,-0.0806440090906354,0.0480312633799758,-0.0410588610898877,0.0435851143159435,0.0461909621658799,-0.0364646607515169
"OCT4",-0.251166870958685,-0.0364588573463353,-0.166827547209406,-0.0607915661484407,-0.0607915661484407,-0.0495802658984451,0.0634094510255522,-0.0438998242439503,-0.064787549263123,0.170861922955408,0.250176194968009
