"","miR200","miR145","GRHL2","Ecad","miR34","NRF2","SNAIL","ZEB","OCT4","KEAP1","OVOL2"
"miR145",0.48480029931291,0.472230870486791,0.452425694835199,0.452425694835199,0.434775621527407,-0.112192611837499,-0.155024472465754,-0.46011146175853,-0.556384612900817,-0.468171179579911,-0.489764698379118
"GRHL2",0.453318002570112,0.438183190360723,0.419347861573001,0.419347861573001,0.404542433309195,-0.129181393246279,-0.144351036886123,-0.42607824328755,-0.424818982620068,-0.439286139825014,-0.458013770526852
"Ecad",0.364637007226477,0.419248936078329,0.402259575808623,0.402259575808623,0.283592534524138,-0.236972808181878,-0.0139444957350505,-0.407443569754323,-0.405997235398057,-0.350778197522791,-0.440874838142447
"miR200",0.435064686959411,0.420038876455537,0.401669131383758,0.401669131383758,0.387909368046107,-0.022681239474021,-0.125460855772661,-0.407249548701923,-0.407145160396576,-0.521558417216902,-0.440654010809234
"OVOL2",0.0466166760259564,0.265286140498426,0.252909962881219,0.252909962881219,0.245730871345906,-0.146705150611275,-0.106059167649708,-0.256409665792687,-0.258038015013637,-0.0390459826204707,-0.0452445854389126
"SNAIL",0.040341459642807,0.139569783714083,0.133304329488815,0.133304329488815,0.00877666817727582,-0.0657392262468682,-0.062627430819909,-0.132604206839592,-0.133214574222055,-0.0338140683186269,-0.167638009869255
"KEAP1",0.0360055670684431,0.135515628872103,0.12956636031622,0.12956636031622,0.0066122930162339,-0.162348499623716,0.0444428822024934,-0.127631560422236,-0.12278556752241,-0.02294568965213,-0.162049799116949
"NRF2",-0.0338140683186269,-0.133214574222055,-0.127631560422236,-0.127631560422236,-0.000885233190813422,0.0716774685271532,-0.027427352155228,0.133304329488815,0.135515628872103,0.0360055670684431,0.163328104449309
"miR34",-0.0338140683186269,-0.133214574222055,-0.127631560422236,-0.127631560422236,-0.000885233190813422,0.0716774685271532,-0.027427352155228,0.133304329488815,0.135515628872103,0.0360055670684431,0.163328104449309
"ZEB",-0.461110127346384,-0.445545472980738,-0.42607824328755,-0.42607824328755,-0.409828041617801,0.131995962782703,0.151050094601082,0.332572165801832,0.438183190360723,0.453318002570112,0.466813073552355
"OCT4",-0.546194786038529,-0.533681298871121,-0.415695177396146,-0.415695177396146,-0.398506184906922,0.0178569440304686,0.141615293798654,0.428816624838305,0.520527801616406,0.532296184639927,0.452820719304571
