"","miR200","ZEB","miR34","OCT4","GRHL2","Ecad","NRF2","miR145","OVOL2","SNAIL","KEAP1"
"KEAP1",-0.156100498161112,-0.0930783365896319,-0.179224453707212,0.0984917248075143,0.0919916681560247,0.0919916681560247,-0.21618346837422,-0.0984917248075143,-0.0744040320659063,0.461590273035258,0.15407315256941
"SNAIL",-0.156605325667903,-0.0929630112297007,-0.180190074606298,0.0994984362169102,0.0926103947129387,0.0926103947129387,-0.117226758905558,-0.0990757443370437,-0.0746103311173919,0.365336531656541,0.156144622297014
"ZEB",-0.105262974692522,-0.0810141079664838,-0.0321621533850917,-0.0260208062763589,-0.0191691954095017,-0.0191691954095017,0.0148122945952934,0.0266351976123998,0.0288596559109024,0.10360398273387,0.105243798011366
"OVOL2",-0.0474243601693724,-0.0368677082661558,0.036084907395047,0.0375445875080526,0.0359942679809508,0.0359942679809508,-0.0413512224143623,-0.0364672799151887,-0.0724264370590121,-0.0547480074288711,0.0466550885899783
"miR145",0.132569277320151,-0.0310443940993319,0.0440200709538257,-0.180037185240569,0.0303783257919012,0.0303783257919012,-0.0180731706873551,0.081183510257427,-0.0321185930051165,-0.124760085319146,-0.132994809235045
"Ecad",0.0605958392674473,-0.0297582452049894,0.00758093912521349,0.0366690579116204,0.0291528152551265,0.0291528152551265,-0.135361831106267,-0.0356350443061782,-0.0332377089761501,0.167766155994175,-0.0610910965494082
"GRHL2",0.105243798011366,-0.0191691954095017,0.0314944975987416,0.0272778357173116,0.0186683030150058,0.0186683030150058,-0.0158766276132688,-0.0260208062763589,-0.028091399931178,-0.104075125254483,-0.105407196704176
"miR200",0.11722151171571,-0.013500260335589,0.045315904467117,0.021522627338765,0.0129880481179797,0.0129880481179797,0.0920727715677377,-0.0203279027460575,-0.0256864496402247,-0.159586759202149,-0.217365093605248
"OCT4",-0.225839500864306,0.0230745822792879,-0.0458128466236838,0.146903084906134,-0.0242994641942666,-0.0242994641942666,-0.0877473224043716,-0.145924331026926,0.0305381093062813,0.142927854506588,0.224470036994842
"NRF2",0.156144622297014,0.0926103947129387,0.179245743892437,-0.0984917248075143,-0.0930783365896319,-0.0930783365896319,0.11580158075829,0.0994984362169102,0.0751710152653219,-0.464493716654434,-0.156100498161112
"miR34",0.156144622297014,0.0926103947129387,0.179245743892437,-0.0984917248075143,-0.0930783365896319,-0.0930783365896319,0.11580158075829,0.0994984362169102,0.0751710152653219,-0.464493716654434,-0.156100498161112
