"","KEAP1","SNAIL","ZEB","OVOL2","miR145","GRHL2","Ecad","miR34","OCT4","miR200","NRF2"
"ZEB",-0.1207399654124,-0.0942810458015316,-0.0606265954498762,-0.030959124871796,-0.0306721343769289,-0.026978181115766,-0.026978181115766,-0.0125471946213503,0.0469482980757731,0.117972131098925,0.148256091781318
"miR34",0.0837852044725282,0.0357256914647584,-0.043624708258583,0.0317931181447438,0.0276860269243567,0.0277885700104918,0.0277885700104918,-0.0480823622437125,-0.0485872733289588,-0.0801817333738372,-0.0646424857063499
"OVOL2",0.0895093484538612,0.0772038710820349,-0.0342962528150589,-0.0425126917419834,0.0536417535789334,0.0527513924466691,0.0527513924466691,0.0422033770699283,-0.0293807865876381,-0.0936740256250639,-0.0606623343507478
"miR145",0.0231937836692942,0.0902754394640042,-0.0328423776260573,0.0516404612515039,0.056742246120095,0.0500137130693942,0.0500137130693942,0.0330743560534086,-0.133991066079637,-0.0272071336901536,-0.119953667668258
"SNAIL",0.0801817333738372,-0.0710378989271506,-0.0308436371220336,0.049570770067494,0.0444972987078198,0.043624708258583,0.043624708258583,-0.0369947309949507,-0.0276860269243567,-0.0830599890870152,-0.0536821870975952
"KEAP1",0.0792118899982237,0.0272854483857577,-0.0277885700104918,0.0538895388898132,0.0485872733289588,0.0474811223561053,0.0474811223561053,-0.0343501927738381,-0.0226670279301858,-0.0837852044725282,-0.150839976159159
"GRHL2",0.117206468680374,0.0876261576978802,-0.026978181115766,0.0481854831800489,0.0469482980757731,0.0423331238297967,0.0423331238297967,0.0233316901703117,-0.0267035081320086,-0.1207399654124,-0.137447198687657
"Ecad",0.143709545923865,0.102836928954391,-0.0258247295220404,0.0481356323912462,0.045896770178287,0.0419537617801049,0.0419537617801049,0.0324534813869883,-0.0246450694980149,-0.147428172634182,-0.241124387051452
"miR200",0.00738475750900824,0.0136623205888242,-0.0256031462825691,0.0482789610834271,0.046052979540538,0.0415356421039957,0.0415356421039957,0.0262917222782316,-0.0250599616972486,-0.111031737503265,-0.0327578826198661
"NRF2",-0.0837852044725282,-0.0357256914647584,0.043624708258583,-0.0317931181447438,-0.0276860269243567,-0.0277885700104918,-0.0277885700104918,0.0480823622437125,0.0485872733289588,0.0801817333738372,0.0646424857063499
"OCT4",0.0463129915441345,-0.046621334414706,0.0464729176390981,-0.02713049538704,-0.130427492894394,-0.0258420634240633,-0.0258420634240633,-0.0154990986080687,0.15737903264135,-0.050741895973039,0.0377981470442126
