"","ZEB","OCT4","miR34","miR200","GRHL2","Ecad","KEAP1","miR145","OVOL2","NRF2","SNAIL"
"ZEB",-0.0874814127887922,-0.0204695580928029,-0.0105206139968435,-0.0104922683592984,-0.00954124208476412,-0.00954124208476412,0.0156699722713414,0.0160334443783387,0.0231396038958041,0.0324545061154687,0.0384070298198792
"OVOL2",-0.0764217807754363,0.082592712070574,0.0844441820329875,0.0893592154369474,0.0780735930154839,0.0780735930154839,-0.0864996472900961,-0.0850144995393321,-0.0912405481207257,0.0107252779512729,-0.0794141235004504
"SNAIL",-0.0316583637861418,0.0292213068419421,-0.0568130602926341,-0.0580176266433829,0.0384960579807452,0.0384960579807452,0.0698910016376812,-0.0393436650176929,-0.0452200594104136,-0.0374302459110655,-0.0364220100084332
"KEAP1",-0.0292767820592281,0.0244214138950981,-0.0520514624948123,-0.0537856920333276,0.0417602169916427,0.0417602169916427,0.0755207226792493,-0.0429796961036871,-0.0491399668520849,-0.131802674917345,0.0714937073531859
"miR145",-0.0199853526860828,-0.194478259018294,0.0266141770120353,0.024458851813378,0.0249218163829981,0.0249218163829981,-0.0160066198567655,0.0873440715604383,-0.0322046151576459,-0.026414206283789,-0.030022467138086
"Ecad",-0.0103294277104416,0.0133448339098635,0.0215851362157498,0.0194978185125324,0.0158823555318397,0.0158823555318397,-0.00992004633088209,-0.0214808883316322,-0.0293000867130416,-0.128072848748447,0.0709539487421025
"GRHL2",-0.00954124208476412,0.0145813675536034,0.0163811481214725,0.0156699722713414,0.0135886829276451,0.0135886829276451,-0.00872552782689695,-0.0204695580928029,-0.0279233833984177,-0.0255954711107383,-0.0285866529058627
"miR200",-0.00697563261353809,0.0115802198713386,0.0212697285922924,0.0200924508261373,0.0118335611194959,0.0118335611194959,-0.111716840603107,-0.0187020197161796,-0.0277196030343683,0.0780336455252358,-0.0303126659586243
"OCT4",0.0195354796303219,0.148478029757201,-0.0146134413654154,-0.11414864027389,-0.0130107818479185,-0.0130107818479185,0.125716239341489,-0.158384928778448,0.0225940036113838,-0.0641337738036099,0.0464106090769355
"NRF2",0.0384960579807452,-0.0429796961036871,0.0702119904914058,0.0698910016376812,-0.0292767820592281,-0.0292767820592281,-0.0537856920333276,0.0292213068419421,0.0342385789777241,0.0532429367831388,-0.0409062664348875
"miR34",0.0384960579807452,-0.0429796961036871,0.0702119904914058,0.0698910016376812,-0.0292767820592281,-0.0292767820592281,-0.0537856920333276,0.0292213068419421,0.0342385789777241,0.0532429367831388,-0.0409062664348875
