"","ZEB","KEAP1","OVOL2","miR200","GRHL2","Ecad","miR34","miR145","OCT4","SNAIL","NRF2"
"ZEB",-0.0629760925869952,-0.0513714692866082,-0.0169991729163153,-0.0157220190181347,-0.0073056251258058,-0.0073056251258058,-0.00720005100090732,0.00902948154820932,0.0180870445373889,0.0452838787556923,0.130091699160755
"OVOL2",-0.0230208923810903,-0.076684250599812,-0.0356915007091706,-0.0347987394321108,0.0581308151380719,0.0581308151380719,0.0612064342804691,0.0468766985702391,-0.015100433811125,-0.0479479627160836,0.0121252028570178
"SNAIL",-0.0221529463458499,-0.0776059737450181,0.0647414961275865,-0.0332279232957183,0.0593514336720969,0.0593514336720969,-0.0358040723207355,0.0478497889246029,-0.0141753358285703,-0.038327981001692,0.0144367360311198
"miR145",-0.0196959513425024,0.0975534340708577,-0.0248801828309447,0.0717294874709411,-0.00221816836083742,-0.00221816836083742,-0.00398348845640986,0.0183648236359642,-0.138014183042572,0.0110459162985179,0.0659091790149634
"miR200",-0.0183676312018845,0.107187586301341,0.0537409232547756,0.0406038780597405,0.0465177363401818,0.0465177363401818,0.0305258467089187,0.0234354595816699,0.00190201132601048,0.0474744806276049,-0.222303057106284
"KEAP1",-0.0175075784877934,-0.0837427166820185,0.070393355830745,-0.0274956634052623,0.0647644032956387,0.0647644032956387,-0.0302763793404187,0.0522386148314466,-0.00960057802163065,0.066764035787456,-0.0842804814559972
"Ecad",-0.00773442618487284,0.0116581754712935,0.0545101464911378,0.0544769448828607,0.043814267259511,0.043814267259511,0.0464722589529677,0.0212795880761094,0.0111557860735505,0.0814502897550629,-0.214800066410214
"GRHL2",-0.0073056251258058,0.011461338567654,0.0526319940789955,0.0513714692866082,0.0409575336985503,0.0409575336985503,0.0413432260750913,0.0180870445373889,0.0121478214897364,-0.0133639729841964,-0.122002768224142
"OCT4",0.0208908347187582,-0.0711454164584029,-0.00789604618570077,-0.0375498453628318,0.00681711500504297,0.00681711500504297,0.0118183339922786,0.12389263181784,-0.0982779266376058,-0.00458225401443245,0.195971419937076
"NRF2",0.0593514336720969,0.0274956634052623,-0.020356832821249,0.0776059737450181,-0.0175075784877934,-0.0175075784877934,0.0782857470219176,-0.0141753358285703,0.0522386148314466,-0.0216593767732764,-0.00442655618721069
"miR34",0.0593514336720969,0.0274956634052623,-0.020356832821249,0.0776059737450181,-0.0175075784877934,-0.0175075784877934,0.0782857470219176,-0.0141753358285703,0.0522386148314466,-0.0216593767732764,-0.00442655618721069
