"","GRHL2","Ecad","miR34","miR145","OVOL2","miR200","SNAIL","KEAP1","NRF2","OCT4","ZEB"
"GRHL2",0.565158296636785,0.565158296636785,0.528988848631023,0.480710843394586,0.295918024200716,0.267044376819568,-0.166491717428126,-0.253911206884927,-0.269822465490404,-0.458084313457438,-0.582332572645766
"Ecad",0.553566687355006,0.553566687355006,0.408867937824375,0.476501329416221,0.294135005594189,0.288993309561926,-0.0413272003089195,-0.276276109864117,-0.352569363327106,-0.454596567511459,-0.56975247867087
"miR200",0.531515813022364,0.531515813022364,0.49391763607344,0.453574296811182,0.280062462294575,0.240302901492957,-0.142487304347669,-0.328385604661331,-0.159118402958675,-0.433170883312345,-0.546089598540238
"miR145",0.492780800221653,0.492780800221653,0.466856615068123,0.330506474734125,0.25816826152759,0.225854936886044,-0.150880531352079,-0.215166576435481,-0.207166024575068,-0.412151788287732,-0.506692652458415
"SNAIL",0.325843491628616,0.325843491628616,0.156495753370098,0.285050792281026,0.206175128396069,0.209063479070708,-0.112683881296971,-0.20234450812695,-0.0989022713877831,-0.273504629878356,-0.333871905365329
"KEAP1",0.299439285767611,0.299439285767611,0.134085782854256,0.264252472639621,0.193769281620116,0.19800563476322,-0.00216765853089318,-0.187208840798109,-0.182300591704282,-0.245694190431033,-0.31107458923965
"OVOL2",0.175800726990228,0.175800726990228,0.16939598119537,0.151734873792131,0.0130331055666593,0.00588934364908516,-0.0788926028356888,0.000185249167509889,-0.101864213332567,-0.142745819237274,-0.17653156477989
"OCT4",0.00728169685755413,0.00728169685755413,0.00267863102831278,0.0781637693273246,0.00389563387959605,-0.064475230693881,0.0194510152662884,0.0649122936309439,-0.083219074350058,-0.0773759918147917,-0.0077060023575141
"NRF2",-0.31107458923965,-0.31107458923965,-0.142027021943036,-0.273504629878356,-0.196983306455762,-0.20234450812695,0.0154019596787662,0.19800563476322,0.0953393260196121,0.264252472639621,0.325843491628616
"miR34",-0.31107458923965,-0.31107458923965,-0.142027021943036,-0.273504629878356,-0.196983306455762,-0.20234450812695,0.0154019596787662,0.19800563476322,0.0953393260196121,0.264252472639621,0.325843491628616
"ZEB",-0.582332572645766,-0.582332572645766,-0.542267780381765,-0.494310760087287,-0.302277916486476,-0.273743430769964,0.179595368782661,0.267044376819568,0.285101557259562,0.480710843394586,0.500646893444471
