"","NRF2","ZEB","miR200","miR34","OVOL2","miR145","GRHL2","Ecad","OCT4","KEAP1","SNAIL"
"SNAIL",-0.0193426576422566,-0.0959303724798444,-0.154040472918363,-0.158830740794991,0.0874743124701437,0.115066476674201,0.108440593248446,0.108440593248446,-0.0995603587654132,0.168897016274656,0.328572983219254
"KEAP1",-0.120239942665483,-0.0936060148066105,-0.151409150412029,-0.156433353182122,0.0900652039207478,0.117153839110571,0.110595148122274,0.110595148122274,-0.095374698006277,0.171541163613349,0.428428435609169
"ZEB",-0.131666902151205,-0.0724503244708245,-0.0411240631988887,-0.040498888849655,-0.0182347389420594,-0.0092453834418475,-0.00617792560481041,-0.00617792560481041,0.0356121438292264,0.0664436745514839,0.210838243657421
"OVOL2",-0.0110917566376463,-0.0260674272415786,-0.0367568261565156,0.0584964171612213,-0.0391186822651951,0.0552022970249944,0.0543740226069975,0.0543740226069975,-0.0207715463570637,0.0702387084844905,-0.0793907454950481
"miR145",0.183503294760382,-0.0107981901667069,0.0722370965378472,0.0707397111171796,0.0485313228452695,0.0442264227023133,0.0380786474391335,0.0380786474391335,-0.111765195460236,-0.0399050147689695,-0.230502846137441
"miR200",0.226215208776087,-0.00316115178701825,0.0741696423994101,0.0737959405493887,0.0437615215652784,0.0322735000152301,0.0281624997139067,0.0281624997139067,-0.00243641700514474,-0.14460134528062,-0.234375245578883
"Ecad",0.223617262829254,0.00482098740669523,0.133263511290923,0.164083494724138,0.0313422454173936,0.0179282622987318,0.012925677998659,0.012925677998659,0.00310575130671035,-0.112269639050513,-0.341596939368959
"GRHL2",-0.125162644819133,0.00617792560481041,-0.0664436745514839,-0.0625222568021773,-0.0455355467988628,-0.0356121438292264,-0.031470112834933,-0.031470112834933,0.00534419807997074,0.0365417137671702,0.201812919746939
"OCT4",-0.266565345255837,0.0338939368123938,-0.142335938575305,-0.0453448683488113,-0.0136801528019089,-0.108052545165095,-0.00384830395673773,-0.00384830395673773,0.145985225995842,0.177825449064816,0.242162550844092
"NRF2",0.0157118466480252,0.108440593248446,0.168897016274656,0.171740996358617,-0.0714749920872927,-0.0995603587654132,-0.0936060148066105,-0.0936060148066105,0.117153839110571,-0.151409150412029,-0.423431811706401
"miR34",0.0157118466480252,0.108440593248446,0.168897016274656,0.171740996358617,-0.0714749920872927,-0.0995603587654132,-0.0936060148066105,-0.0936060148066105,0.117153839110571,-0.151409150412029,-0.423431811706401
