"","ZEB","miR200","OVOL2","miR34","GRHL2","Ecad","miR145","OCT4","NRF2","KEAP1","SNAIL"
"ZEB",-0.0846399937410248,-0.0255464639190633,-0.0238465163717683,-0.0121465878603882,-0.0113896195422412,-0.0113896195422412,0.000730736591292103,0.00335132109901301,0.0278027038007575,0.0330445462509478,0.0411106740286558
"SNAIL",-0.0316448945568163,-0.0515316436259579,0.0464572127114406,-0.0552931643107865,0.0399901521201851,0.0399901521201851,0.0324593923086139,-0.0239684764762075,-0.034473179466979,0.0672092424947259,-0.0356183081777455
"KEAP1",-0.0290140417844163,-0.0464856066659275,0.0505761154300871,-0.0503895775816958,0.0435117889352247,0.0435117889352247,0.0351861178951912,-0.0204621915148231,-0.128393393112265,0.0736897556522547,0.0722883465039895
"Ecad",-0.0118347292722622,0.0353453129165882,0.0312701478491239,0.0244277495698445,0.0187498744808517,0.0187498744808517,0.00485880834022041,0.00213438893869115,-0.12178080200924,-0.0224434410119463,0.0706957563327359
"miR200",-0.00864798674186784,0.0357617312293953,0.0297206422807055,0.0241941459578252,0.0147891416456259,0.0147891416456259,0.00117962146752154,0.00504225595683843,0.0843904193062128,-0.12430389644429,-0.0306848775800378
"miR145",-0.00420873236487939,0.0145175160917786,0.0221173290855774,0.0105610179741501,0.00868225496868684,0.00868225496868684,-0.0925217929538256,-0.00301428256876375,-0.0165351679914601,-0.00619878434376021,-0.025604057846108
"OCT4",-0.00166135490280641,-0.0716728224076841,0.00130945135533393,-0.00150100074775816,0.00229381027067128,0.00229381027067128,0.0740348993399964,-0.0733903541024696,-0.0830184161284981,0.0728965986314603,0.0216440118679141
"GRHL2",0.0113896195422412,-0.0330445462509478,-0.0299767238800845,-0.0194815285132072,-0.0166576257602157,-0.0166576257602157,-0.00335132109901301,-0.00197451416397078,0.0187203953807007,0.0232406246823203,0.0291112629568066
"NRF2",0.0399901521201851,0.0672092424947259,-0.0336294390239512,0.0705939633598521,-0.0290140417844163,-0.0290140417844163,-0.0239684764762075,0.0351861178951912,0.0535434203899515,-0.0464856066659275,-0.0392025936343068
"miR34",0.0399901521201851,0.0672092424947259,-0.0336294390239512,0.0705939633598521,-0.0290140417844163,-0.0290140417844163,-0.0239684764762075,0.0351861178951912,0.0535434203899515,-0.0464856066659275,-0.0392025936343068
"OVOL2",0.0775669462517642,-0.100165145930644,-0.0923514601143615,-0.0861840226434317,-0.0798188773272247,-0.0798188773272247,-0.0718554246939998,0.0695542956756424,-0.0141397774254718,0.0959474155470696,0.0797362753345394
