"","miR200","miR145","ZEB","GRHL2","Ecad","miR34","SNAIL","OVOL2","OCT4","KEAP1","NRF2"
"SNAIL",0.147676214935959,0.114504085022342,-0.104211420522388,0.107829572607425,0.107829572607425,-0.0138390922784279,-0.0470845502002131,-0.0849100649902396,-0.108312019764649,-0.148355866443509,-0.120024818824289
"miR200",0.145442381419012,0.0650330093864283,-0.0558609508873484,0.05968367154298,0.05968367154298,0.0392480418224298,0.0376890918537387,-0.0535644361938241,-0.0579112095415874,-0.245911415591502,-0.262293578103267
"Ecad",0.172061607850414,0.0648750087283513,-0.0548121896678415,0.060043482828375,0.060043482828375,0.0562376209462448,0.070327711945076,-0.0540467162538445,-0.0556233080480792,-0.172875844398722,-0.265105767409863
"miR145",0.162448785256812,0.067494491601731,-0.0544099798265974,0.0601117134937522,0.0601117134937522,0.0545447583673535,-0.0152513815273773,-0.0530166311113736,-0.156988759976647,-0.162974442328151,-0.210538818755134
"ZEB",-0.137501145808449,-0.0506437069435202,-0.0502303970515853,-0.0461195522285485,-0.0461195522285485,-0.0410360680574336,0.0365234679533344,0.04297882209229,0.0560586814306597,0.136408074982573,0.15838284712103
"GRHL2",0.136408074982573,0.0560586814306597,-0.0461195522285485,0.0509615120420093,0.0509615120420093,0.0480279078200448,-0.0252749402737113,-0.0491407102595639,-0.0475241131210335,-0.137184218773423,-0.152730056203339
"OVOL2",-0.0383529895398405,0.0493778910638768,-0.0420323608035354,0.0485148325801248,0.0485148325801248,0.0520208028932855,-0.05783631113738,-0.0818790842358014,-0.0387858028108388,0.0371380709765215,0.00448343602232736
"OCT4",-0.255143452135881,-0.158455023783958,0.0607116237712718,-0.0529060037248383,-0.0529060037248383,-0.0377731959695852,-0.00850871142761445,0.0441815035847646,0.16922131645524,0.252725037217466,0.296398936082133
"KEAP1",-0.146605609052716,-0.116030140570018,0.102320993673019,-0.10934458232926,-0.10934458232926,0.0112330909375244,-0.0576972298580783,0.0872325142860966,0.103453453453453,0.147595708062617,0.216202906668622
"NRF2",-0.148355866443509,-0.108312019764649,0.107829572607425,-0.102320993673019,-0.102320993673019,0.021558830771461,-0.040884265644709,0.0783574229785728,0.116030140570018,0.146605609052716,0.124877211087607
"miR34",-0.148355866443509,-0.108312019764649,0.107829572607425,-0.102320993673019,-0.102320993673019,0.021558830771461,-0.040884265644709,0.0783574229785728,0.116030140570018,0.146605609052716,0.124877211087607
