"","ZEB","miR34","OVOL2","miR200","miR145","GRHL2","Ecad","KEAP1","OCT4","NRF2","SNAIL"
"SNAIL",-0.0961159793405766,-0.166466400674355,0.0875020506792019,-0.172366003546038,0.115132691363225,0.108513771654559,0.108513771654559,0.184978328501564,-0.0996562360424986,-0.122140284622931,0.36766429603331
"KEAP1",-0.0937120312391576,-0.163106996998623,0.0900652039207478,-0.169196595893827,0.117153839110571,0.110595148122274,0.110595148122274,0.185839688774544,-0.095374698006277,-0.217387654459678,0.465467343085549
"ZEB",-0.0722026600396681,-0.0219856902922953,-0.0184878123734958,-0.0119635517114326,-0.00962606539757349,-0.00657508016783841,-0.00657508016783841,0.0340295194946082,0.0357637307104965,0.049915097484735,0.113450342964813
"OVOL2",-0.0262424238562342,0.0546297436161125,-0.0391392135126161,-0.0479882422154304,0.055210172101533,0.0543826496435188,0.0543826496435188,0.0771091504864262,-0.0208828429625172,-0.0285437349333823,-0.0465671975964365
"Ecad",-0.0209451443377166,0.0231014202897937,0.0513973229187299,0.0164316393302794,0.0483588264826535,0.0445474525394005,0.0445474525394005,0.00775202557360707,-0.0196513434894563,-0.137907530699719,0.173224070624452
"miR200",-0.00353285422289339,0.0588717749562546,0.0438205166685749,0.0452281352135925,0.0324152061402181,0.0283185338476305,0.0283185338476305,-0.119584409742165,-0.00264018674533832,0.0852568492521283,-0.153011445690278
"OCT4",0.00352279970549733,0.00845950970035299,-0.00238116022241986,0.144428881694044,-0.144363955111297,-0.00426733577146482,-0.00426733577146482,-0.145099044864207,0.143241968957084,0.126191430700447,-0.0668417746237284
"miR145",0.00522079285110474,0.0250710196789919,0.0328911665224141,-0.0899314392135073,0.024244157919141,0.0151533391343457,0.0151533391343457,0.110782503043295,-0.0997667472650614,-0.0857270479762494,-0.0784320617653951
"GRHL2",0.00657508016783841,-0.0455298297581707,-0.045598536276553,-0.0340295194946082,-0.0357637307104965,-0.0316369720441698,-0.0316369720441698,0.00821252603055595,0.0055619444055015,0.0203739432747066,0.0983443358976747
"NRF2",0.108513771654559,0.179904953140841,-0.0715480381062847,0.184978328501564,-0.0996562360424986,-0.0937120312391576,-0.0937120312391576,-0.169196595893827,0.117153839110571,0.13893702707288,-0.457634797508236
"miR34",0.108513771654559,0.179904953140841,-0.0715480381062847,0.184978328501564,-0.0996562360424986,-0.0937120312391576,-0.0937120312391576,-0.169196595893827,0.117153839110571,0.13893702707288,-0.457634797508236
