"","ZEB","NRF2","OVOL2","miR200","miR34","Ecad","GRHL2","OCT4","miR145","KEAP1","SNAIL"
"ZEB",-0.096186754867293,-0.094279779180315,-0.0178659814363709,-0.013207402955509,-0.0108934138087111,-0.000513070469435693,0.000513070469435693,0.0066691047714304,0.011157285548271,0.0194462165581682,0.0840338387214642
"OVOL2",-0.0291470666241913,-0.0175114405404734,-0.0537829381279434,-0.0586262174935977,0.0386031621554374,-0.0369189026313214,0.0369189026313214,0.0218938239741544,0.0298659001613474,0.0697833080554312,-0.0524700878240537
"SNAIL",-0.0284417658026781,-0.0193168786260653,0.0457633204118871,-0.0564178481902959,-0.0563611497247163,-0.0378602040692357,0.0378602040692357,0.0208922795451109,0.0305400363118888,0.0699242113705176,-0.0450792538502046
"KEAP1",-0.0253571255042575,-0.119961435464082,0.0506177365974651,-0.0519068558770627,-0.0516432992295061,-0.0420812177385538,0.0420812177385538,0.01681117207433,0.0338357119516306,0.0757163796865865,0.0599218942789425
"OCT4",-0.00735277622884139,-0.167871146713032,-0.00784176174929101,-0.0430892634433289,0.00112992003635741,-0.013717358728241,0.013717358728241,-0.0258226282812305,-0.018875862943441,0.0525589604130258,0.0688680353481817
"Ecad",-0.00140109902142616,-0.00894983334374428,0.0267809777173351,0.0229596471148551,0.0224364294624541,-0.00916763009701031,0.00916763009701031,-0.0115421911115131,-0.00373266730198928,-0.0119380740434205,0.041527933671748
"GRHL2",-0.000513070469435693,-0.093357357231403,-0.0246931634417566,-0.0194462165581682,-0.017328873749364,0.00530764459763783,-0.00530764459763783,0.0124911358663692,0.0066691047714304,0.0111945825712401,0.077290611395198
"miR200",0.00233698658114796,0.194846504836,0.0248586814559389,0.0236655071979787,0.0221585635595081,-0.00451587371970932,0.00451587371970932,-0.0148280967425239,-0.00795455135850524,-0.113930655087325,-0.0656455278700358
"miR145",0.0174068515756449,0.0470961994317535,0.00882606268415348,-0.0879463514746899,-0.00669389693663464,0.014218226699647,-0.014218226699647,-0.0115239534738235,-0.108354701956629,0.0924770148038514,-0.0600681751117557
"NRF2",0.0378602040692357,0.0171791114051627,-0.0310779265171145,0.0699242113705176,0.0703147916714904,0.0253571255042575,-0.0253571255042575,-0.0338357119516306,-0.0208922795451109,-0.0519068558770627,-0.0400029206125009
"miR34",0.0378602040692357,0.0171791114051627,-0.0310779265171145,0.0699242113705176,0.0703147916714904,0.0253571255042575,-0.0253571255042575,-0.0338357119516306,-0.0208922795451109,-0.0519068558770627,-0.0400029206125009
