"","GRHL2","Ecad","miR34","miR145","miR200","OVOL2","SNAIL","NRF2","KEAP1","ZEB","OCT4"
"GRHL2",0.363497289692906,0.363497289692906,0.355463380972144,0.312968018505553,0.204366624182747,0.187319890924854,-0.119968789108126,-0.167141901779306,-0.197728552287323,-0.364355139885779,-0.307807581853221
"miR200",0.349989793390216,0.349989793390216,0.343188309781807,0.302285350407092,0.199682190209469,0.181620613844736,-0.103175996985529,-0.0590875724416592,-0.292263792583357,-0.350070669003523,-0.296963395403213
"miR145",0.329588043427109,0.329588043427109,0.325229959338138,0.19618930626688,0.175242299319887,0.170023881338385,-0.113294031596012,-0.123127939182325,-0.169643634321973,-0.330187977292667,-0.291941160616172
"SNAIL",0.11893088839314,0.11893088839314,-0.0031936646372371,0.10487105946123,-0.0169752315175719,0.0907445169975994,-0.0553598797177515,-0.0745180761727885,0.0252177165789229,-0.115946423961414,-0.100547737251367
"KEAP1",0.118711631684436,0.118711631684436,-0.00212309857630055,0.104766337443121,-0.0151132894572874,0.092049180868216,0.050766136205818,-0.169685825153647,0.0311906114752035,-0.113225281300126,-0.0961773803879067
"OVOL2",0.115110865966166,0.115110865966166,0.115368455699518,0.101027223365018,-0.0143644697647091,-0.0193795373275059,-0.0652661815610553,-0.0720482282504849,0.0209165414926523,-0.112876760202649,-0.0975195098426534
"OCT4",0.00372085136314175,0.00372085136314175,-0.000337478740984451,0.0751765109740182,-0.0710884842230267,0.00199124495108466,0.0209539846132311,-0.084056867858917,0.07187519750974,-0.00347267267448591,-0.074722942103166
"NRF2",-0.113225281300126,-0.113225281300126,0.0116398113717019,-0.100547737251367,0.0252177165789229,-0.0844523948930516,-0.0310497283732725,0.0838156669430633,-0.0151132894572874,0.11893088839314,0.104766337443121
"miR34",-0.113225281300126,-0.113225281300126,0.0116398113717019,-0.100547737251367,0.0252177165789229,-0.0844523948930516,-0.0310497283732725,0.0838156669430633,-0.0151132894572874,0.11893088839314,0.104766337443121
"ZEB",-0.364355139885779,-0.364355139885779,-0.354990458123479,-0.313540756191693,-0.202845274144394,-0.186274429179249,0.126461721970317,0.172392611334652,0.204366624182747,0.267514008743781,0.312968018505553
"Ecad",-0.319893586228787,-0.319893586228787,-0.304418783457533,-0.28251769692409,-0.206984147880917,-0.165120532860301,0.148187733773775,0.0392680922632175,0.204390342794037,0.321577438276843,0.279796608488716
