"","OVOL2","miR34","miR145","GRHL2","Ecad","ZEB","miR200","KEAP1","OCT4","NRF2","SNAIL"
"OVOL2",0.284335458865438,0.135291657619125,0.133507475260116,0.126336841295082,0.126336841295082,-0.102991624420453,-0.14305834602085,0.160921362626506,-0.106298994694745,-0.116081158840183,-0.121416663124164
"NRF2",0.0739332132898156,-0.0711492814165834,0.020473724457933,0.0210760478335643,0.0210760478335643,-0.0778283670191813,-0.0804664826613434,0.0367688800727274,-0.0851908864905313,-0.08493742498202,0.0178213111268669
"miR200",0.203185405738001,0.0759636749950388,0.0926442856785622,0.09047735609306,0.09047735609306,-0.0514575685263376,0.0199583602778588,-0.090294341899377,-0.0472602670594776,0.04030517063048,-0.0209868652506984
"GRHL2",0.201621435284629,0.0912086211756477,0.0866819760825649,0.0849131884586132,0.0849131884586132,-0.038479887750455,0.0290507705559748,0.00628419676428666,-0.0330597465092933,-0.0471574206116191,-0.0991181288811436
"Ecad",0.175815468908738,0.159840575397533,0.0675473690259343,0.0635719136803549,0.0635719136803549,-0.0366964998122251,0.0837708230091882,-0.0633813325365953,-0.036200430250424,-0.130128565922527,-0.129858974669095
"SNAIL",0.103105779410901,-0.0201488191567934,0.0786939691742845,0.0778283670191813,0.0778283670191813,-0.0269238289979221,-0.0414800300772992,0.0804664826613434,-0.020473724457933,-0.0270141131394682,-0.0580741798128719
"ZEB",-0.178241108973841,-0.049647048475351,-0.0390614408331637,-0.038479887750455,-0.038479887750455,-0.0196753328364717,0.00305099369869155,0.0290507705559748,0.0866819760825649,0.0950997101102,0.11903862358079
"miR145",0.179857999185503,0.0619910420933315,0.0590033030485062,0.0535441076771719,0.0535441076771719,-0.0149263175123082,-0.0924912783135998,0.121786230336962,-0.114755157397798,-0.10533919938381,-0.096719770713482
"OCT4",0.00288490588646991,-0.000821207864619662,-0.135572915442097,0.00423884407300079,0.00423884407300079,-0.00170101683739115,0.136604434948461,-0.134506532850558,0.138509177079719,0.120615725285643,0.0261401473724962
"KEAP1",-0.106109984655776,0.0143683574225446,-0.0851908864905313,-0.0842353375234663,-0.0842353375234663,0.0210760478335643,0.0367688800727274,-0.085378026701676,0.013258371153108,-0.0799289143524044,-0.0451676987028291
"miR34",-0.0739332132898156,0.0711492814165834,-0.020473724457933,-0.0210760478335643,-0.0210760478335643,0.0778283670191813,0.0804664826613434,-0.0367688800727274,0.0851908864905313,0.08493742498202,-0.0178213111268669
