"","miR200","ZEB","GRHL2","Ecad","miR34","OCT4","miR145","NRF2","OVOL2","SNAIL","KEAP1"
"ZEB",-0.13733183628453,-0.05260221775712,-0.0407721660409971,-0.0407721660409971,-0.039404165218907,-0.0273451383143603,-0.0207013811551392,0.0269932388160739,0.0393459614318152,0.0562114304960534,0.142279420022705
"GRHL2",0.142279420022705,-0.0407721660409971,0.0492873367474281,0.0492873367474281,0.0503092097292927,0.0187444105604734,0.0273451383143603,-0.0169648566022612,-0.0491907262029224,-0.0401484151839214,-0.135661772963881
"OVOL2",-0.0313713603395561,-0.0401689047836287,0.0512205981882633,0.0512205981882633,0.0523502185576954,0.0303962447289341,0.0415054406265468,-0.0347508131450576,-0.0844784508100617,-0.0372098385553088,0.0397378519306219
"SNAIL",-0.0325388256155626,-0.0392140994434848,0.0522864624851855,0.0522864624851855,-0.044718455200664,0.0292124149838262,0.0423751884358098,-0.0336577885162595,-0.055113198420488,-0.0356444590836744,0.0424142988628372
"Ecad",0.112550181456313,-0.0382062222420721,0.0491323408685029,0.0491323408685029,0.0511581312599813,0.0167958228115499,0.0278162309748152,-0.120210325945514,-0.0501911422819626,0.0625791004153146,-0.104164384427856
"miR200",0.143169990426632,-0.0375330798362192,0.0473298124614416,0.0473298124614416,0.0514819981244983,0.0154121574277447,0.0252957881492342,0.0860336056178606,-0.0491535236692819,-0.0394224748996645,-0.235636727288889
"KEAP1",-0.0296918396776629,-0.0353338313383174,0.057358745199966,0.057358745199966,-0.0383651816164131,0.0240872451398767,0.0463265089435577,-0.127689167760152,-0.0610049677761006,0.0735078517005163,0.0462406374145794
"miR145",0.124761197659753,-0.0244945506444048,0.0317079286972179,0.0317079286972179,0.0331277387954643,0.0150814137208497,-0.0777034817612811,-0.0150919662473046,-0.0366103218813067,-0.0339313784965259,-0.119179220187913
"OCT4",0.0714554012566104,0.00185098869447498,-0.00278766310004699,-0.00278766310004699,0.00106044573388329,-0.0734662168059985,-0.074444970685206,0.0830184161284981,0.00166337598423616,-0.0216914869109993,-0.0721838394850487
"NRF2",0.0424142988628372,0.0522864624851855,-0.0353338313383174,-0.0353338313383174,0.066319194816328,-0.0463265089435577,-0.0292124149838262,0.0537120810171078,0.0355119071479049,-0.0327921190874171,-0.0296918396776629
"miR34",0.0424142988628372,0.0522864624851855,-0.0353338313383174,-0.0353338313383174,0.066319194816328,-0.0463265089435577,-0.0292124149838262,0.0537120810171078,0.0355119071479049,-0.0327921190874171,-0.0296918396776629
