"","KEAP1","GRHL2","Ecad","miR34","OVOL2","ZEB","miR145","OCT4","SNAIL","miR200","NRF2"
"SNAIL",0.144319360134966,0.130666265585461,0.130666265585461,0.00630665457823296,0.102853799976748,-0.10651458937941,0.114053882721661,-0.0919775015574046,-0.0398538324565349,-0.145053748676681,-0.120398551903202
"KEAP1",0.143614760857776,0.133251039511685,0.133251039511685,0.00945872955725173,0.10599254484368,-0.103221884992735,0.116282391298536,-0.0882149066359593,0.0644622795086781,-0.144510564723877,-0.216331316431509
"OVOL2",0.133480941203156,0.125966174911752,0.125966174911752,0.126036796225667,-0.00848276913949855,-0.103090357918288,0.109448781661824,-0.0885490143602643,-0.048259383874073,-0.134313876637397,-0.115101505956413
"OCT4",0.156854200923968,0.014949555172387,0.014949555172387,0.00522171045854948,0.0183176623324281,-0.0517520529708019,0.0342820868807839,-0.0677268230946775,-0.00678346388592607,-0.15589266246243,-0.244355508362312
"Ecad",0.16481675381545,0.0893204301085415,0.0893204301085415,0.0844118353885644,0.0811772578282279,-0.0485201273935666,0.0574729574422316,-0.0204117329524356,0.0837709642080269,-0.166352890808651,-0.264251697676998
"GRHL2",0.128121157490341,0.0796962003430607,0.0796962003430607,0.0770826620878251,0.0767334861200179,-0.0365561231941172,0.0469152565528279,-0.00791426416116396,-0.010468404666407,-0.129795994091648,-0.152474554707379
"ZEB",-0.129795994091648,-0.0365561231941172,-0.0365561231941172,-0.0317006146100803,-0.0310262154087871,-0.0249021174494022,-0.0121032186480065,0.0469152565528279,0.0591433163271844,0.128702923265772,0.18336386407351
"miR145",0.00993687146319799,0.0231786987131943,0.0231786987131943,0.0242484220902716,0.0390567959646392,0.00481034186500973,-0.0875654111653146,0.0125552965328129,-0.00816106705094279,-0.0108797166863937,-0.0844967371399801
"miR200",-0.237449890811972,-0.0898180101189946,-0.0898180101189946,-0.0664391440614883,-0.0805982569529242,0.0516393289306622,-0.0562257852619602,0.0214856766506336,-0.0514941829132127,0.13910586860464,0.265051483428371
"NRF2",-0.144510564723877,-0.103221884992735,-0.103221884992735,0.0227959010580346,-0.0739983885251992,0.130666265585461,-0.0919775015574046,0.116282391298536,-0.0285406049644512,0.144319360134966,0.139299128761023
"miR34",-0.144510564723877,-0.103221884992735,-0.103221884992735,0.0227959010580346,-0.0739983885251992,0.130666265585461,-0.0919775015574046,0.116282391298536,-0.0285406049644512,0.144319360134966,0.139299128761023
