"","ZEB","OVOL2","miR145","miR34","GRHL2","miR200","Ecad","KEAP1","OCT4","NRF2","SNAIL"
"ZEB",-0.0660183352002355,-0.0151401170060699,-0.00677474310946422,-0.00459084147971304,-0.00383982713892919,0.000683761363256719,0.00383982713892919,0.0321019711859634,0.0415451273643846,0.0580302548559967,0.0592967641791562
"OVOL2",-0.0218663197562781,-0.0349153486867331,0.0595804226974044,0.0603381382294349,0.058871667349861,-0.0432560920840734,-0.058871667349861,0.0832635195338054,-0.0172206881459953,-0.0245404506844104,-0.0208173934998232
"SNAIL",-0.0210511302778344,0.0654611938932707,0.0608240617658216,-0.0361664051157063,0.0600484728779979,-0.0411820239812811,-0.0600484728779979,0.0833614702249521,-0.0162189449693811,-0.0234182789946202,-0.0204247434605039
"KEAP1",-0.0165955543983985,0.0708344821344668,0.0661710063308384,-0.0305200984018718,0.0652305928293553,-0.0361633528547506,-0.0652305928293553,0.0886386003795031,-0.0108029081713292,-0.117625098101626,0.0860289658787228
"Ecad",-0.00736292353018662,0.0383330545101477,0.0317555945886412,0.123161416021091,0.0264718063227323,0.0861989127954225,-0.0264718063227323,-0.0656919036457541,-0.0100140979900017,0.0917868835403087,-0.0845588628184756
"GRHL2",-0.00383982713892919,0.0507729381687501,0.0415451273643846,0.041395366702265,0.0376644572270172,0.0321019711859634,-0.0376644572270172,0.00421338829116075,-0.00317264969319699,-0.019312184846536,-0.0154952329659642
"miR200",-0.00290528779132682,0.0514260912498807,0.0418180407955539,0.0451942986571115,0.0380106956740033,0.0362151606219787,-0.0380106956740033,-0.0984722679255108,-0.00195768392976649,0.0828953915050634,-0.0163928702470126
"OCT4",0.00154102965443876,-0.00225751817933725,-0.14371646395391,0.00139757522613066,-0.0035344649278356,0.139370504384892,0.0035344649278356,-0.141584956599344,0.141400875507981,0.12334063835072,-0.0277192068569865
"miR145",0.00792478942882887,0.0367630672378418,0.0282530176336872,0.0209745363941461,0.0194218022854703,-0.0916631284393122,-0.0194218022854703,0.120874642832303,-0.0973831592385422,-0.0846031523805691,-0.00301369862733133
"NRF2",0.0600484728779979,-0.0195926998116034,-0.0162189449693811,0.0834687890554805,-0.0165955543983985,0.0833614702249521,0.0165955543983985,-0.0361633528547506,0.0661710063308384,0.0734352454011353,-0.0228959476477978
"miR34",0.0600484728779979,-0.0195926998116034,-0.0162189449693811,0.0834687890554805,-0.0165955543983985,0.0833614702249521,0.0165955543983985,-0.0361633528547506,0.0661710063308384,0.0734352454011353,-0.0228959476477978
