"","OVOL2","miR145","miR34","GRHL2","NRF2","miR200","KEAP1","SNAIL","ZEB","Ecad","OCT4"
"miR145",0.482436140501179,0.464804387403468,0.446162238757106,0.444668392861764,0.400804529091218,0.213745496972,-0.207512705983264,-0.26560524153747,-0.452089622017605,-0.444668392861764,-0.550927111611155
"GRHL2",0.450169254573126,0.430178295163182,0.415222823287724,0.411057740554033,0.366590726915154,0.191160854011634,-0.186197618717516,-0.24571223117614,-0.417500253076343,-0.411057740554033,-0.418633472139695
"Ecad",0.434046599019474,0.412216759089965,0.291995867063047,0.394993800531584,0.244327470374661,0.153786250007353,-0.147969075492118,-0.0857133023602836,-0.400102115733552,-0.394993800531584,-0.40076097677704
"miR200",0.433313494824527,0.412511532982461,0.397141855949154,0.393897271528409,0.456303983748236,0.187850381890441,-0.282518707725609,-0.206254753988834,-0.39931593761996,-0.393897271528409,-0.401386629956859
"OVOL2",0.400939821630768,0.260969172249362,0.250563963054325,0.248471092424123,0.0975618528566377,-0.0798549657793342,0.0826190381439159,-0.157382069414384,-0.251828192840047,-0.248471092424123,-0.25468631436778
"SNAIL",0.165290942240855,0.136962877261785,0.010244926984226,0.13065967474211,0.0517783064928981,-0.0224342034518169,0.0266808850191206,-0.0823466399499234,-0.13054213590319,-0.13065967474211,-0.131853496468311
"KEAP1",0.160146799324004,0.133243716986048,0.00760954425979057,0.127219153857728,-0.053417930870924,-0.0224008438365938,0.0321603912199036,0.0241757579583474,-0.126185493640394,-0.127219153857728,-0.122200772200772
"NRF2",-0.161717288732332,-0.131853496468311,-0.00447988703177268,-0.126185493640394,-0.0489279501983613,0.0266808850191206,-0.0224008438365938,-0.0131021590386986,0.13065967474211,0.126185493640394,0.133243716986048
"miR34",-0.161717288732332,-0.131853496468311,-0.00447988703177268,-0.126185493640394,-0.0489279501983613,0.0266808850191206,-0.0224008438365938,-0.0131021590386986,0.13065967474211,0.126185493640394,0.133243716986048
"ZEB",-0.458319104089996,-0.437259415646364,-0.421296636344104,-0.417500253076343,-0.374466791248172,-0.193116875489517,0.191160854011634,0.251822360740333,0.322929948223253,0.417500253076343,0.430178295163182
"OCT4",-0.446962401188767,-0.528091508503953,-0.41063382216924,-0.409729295699239,-0.468301849643981,-0.295825261958845,0.29329029692388,0.230419412461044,0.421057451971755,0.409729295699239,0.515081243524245
