"","miR145","miR34","GRHL2","Ecad","miR200","OVOL2","SNAIL","NRF2","ZEB","KEAP1","OCT4"
"GRHL2",0.261795990873077,0.246940368700154,0.23959175970795,0.23959175970795,0.144513913554831,0.121606061903791,-0.0891060754936239,-0.109422144861076,-0.238779968585836,-0.142205907018883,-0.260406642543603
"miR200",0.254719056689523,0.246008622130352,0.23338059261549,0.23338059261549,0.14491653502113,0.118918028339218,-0.0763998523439978,-0.00448981808227411,-0.232264509151857,-0.241767305577271,-0.252841632329554
"SNAIL",0.0911465885465264,-0.0312271775145907,0.0846477784362743,0.0846477784362743,-0.0339628633992997,0.0712949415959712,-0.0496100576743084,-0.0604628800112244,-0.0828693646995613,0.0389667406058864,-0.0881729140934304
"KEAP1",0.0925353302008129,-0.0289001966834479,0.0858884605211618,0.0858884605211618,-0.0316274260007974,0.0728506952100157,0.055004084146815,-0.157588457891844,-0.0820453648413314,0.0424242199659082,-0.0860936124094019
"OVOL2",0.0864457080926689,0.0823810386776447,0.079493013780403,0.079493013780403,-0.0326368692862414,-0.0381283037640903,-0.057433527057281,-0.0568802853853831,-0.0782155330911576,0.0362391824063008,-0.084299711367684
"OCT4",-0.136416844021468,-0.00153475177443318,0.00345258902024293,0.00345258902024293,-0.139450875956371,0.00184142391593684,0.0267352245410087,-0.124537978970028,-0.00315637574668597,0.140325001830497,0.136965901075658
"NRF2",-0.0881729140934304,0.0361601498450404,-0.0820453648413314,-0.0820453648413314,0.0389667406058864,-0.0679931349470501,-0.0404868660509339,0.0668083160478719,0.0846477784362743,-0.0316274260007974,0.0925353302008129
"miR34",-0.0881729140934304,0.0361601498450404,-0.0820453648413314,-0.0820453648413314,0.0389667406058864,-0.0679931349470501,-0.0404868660509339,0.0668083160478719,0.0846477784362743,-0.0316274260007974,0.0925353302008129
"ZEB",-0.260890023987729,-0.245428870183833,-0.238779968585836,-0.238779968585836,-0.142992563516477,-0.120584360652405,0.0921685018776051,0.111290640603744,0.13931920084723,0.144513913554831,0.261795990873077
"Ecad",-0.24225108649294,-0.222829435769065,-0.222234167271221,-0.222234167271221,-0.16045991553366,-0.112202102749557,0.125066568203319,-0.00559714015127971,0.222253086957155,0.160485098107319,0.24225108649294
"miR145",-0.134442866610216,-0.235071262449637,-0.230328942297392,-0.230328942297392,-0.0244988670060336,-0.117047091532476,0.0782823444769982,0.144829134621774,0.229747903986655,0.0228384581616448,0.0334314033600471
