"","NRF2","miR200","ZEB","miR34","OVOL2","miR145","GRHL2","Ecad","OCT4","SNAIL","KEAP1"
"SNAIL",0.0332989493700318,2.02529685298949e-05,-0.086147703786074,-0.0159011506792273,0.082479708646776,0.105474333519137,0.0988163464680037,0.0988163464680037,-0.0897160836118325,-0.0662108134520148,0.00683556056064038
"KEAP1",-0.0677550967337944,0.00170981375911252,-0.0837519018411257,-0.01251291674937,0.0857182965870136,0.108699784474728,0.101907215914807,0.101907215914807,-0.086460520671047,0.0370141347825838,0.00880409477459799
"ZEB",-0.143186842506644,-0.123118819370853,-0.0769285042958112,-0.0190961213335068,-0.0185707598845434,-0.00840286494238312,-0.00523767890078609,-0.00523767890078609,0.0309583163638139,0.104349673153508,0.132368371914959
"OVOL2",0.0580643855699564,0.0998483275770392,-0.0259098952919572,0.055538252760829,-0.0426792933610385,0.0505333629020662,0.0496769778825692,0.0496769778825692,-0.020722107192336,-0.0754369540642258,-0.0878105536898303
"GRHL2",0.131573786688291,0.132368371914959,-0.00523767890078609,0.039960364656949,0.0420857289959009,0.0309583163638139,0.0267069632579742,0.0267069632579742,-0.00439529949315564,-0.0891553268637553,-0.121502358843064
"OCT4",-0.121084511508528,-0.138569255845385,-0.00324771982239062,-0.000920313477795775,0.00230332047213797,-0.135768052217916,0.00410433658646075,0.00410433658646075,0.136890038372129,0.0259411423973718,0.139268556544686
"Ecad",0.219172444887006,0.144377210280296,0.00388252940899775,0.115936833934543,0.0292329015784391,0.0155460433229476,0.0105153515861777,0.0105153515861777,0.00235871858181428,-0.120507894596532,-0.137317695464548
"miR145",0.161496287048793,0.131565876584734,0.00749026398750473,0.0231445472695287,0.0296761560309849,0.0195718241225896,0.0103140725423266,0.0103140725423266,-0.0977107317422794,-0.088466325826969,-0.122546268741597
"miR200",-0.0357984082717675,-0.12734045102544,0.0175767381263984,-0.0317933513192537,-0.0460965211548025,-0.0409014083518553,-0.036334488706007,-0.036334488706007,0.0176430685535621,0.0117491444189744,0.0179884839535533
"NRF2",-0.0411374291800081,0.00683556056064038,0.0988163464680037,0.0310566680800065,-0.0659593484496871,-0.0897160836118325,-0.0837519018411257,-0.0837519018411257,0.108699784474728,-0.0214840875172225,0.00170981375911252
"miR34",-0.0411374291800081,0.00683556056064038,0.0988163464680037,0.0310566680800065,-0.0659593484496871,-0.0897160836118325,-0.0837519018411257,-0.0837519018411257,0.108699784474728,-0.0214840875172225,0.00170981375911252
