"","ZEB","OVOL2","miR145","miR34","GRHL2","Ecad","NRF2","OCT4","SNAIL","miR200","KEAP1"
"ZEB",-0.0630470659218518,-0.0176629533667925,-0.0109902759809387,-0.00910082388560892,-0.00818854120384443,-0.00818854120384443,0.0411515471704542,0.0447505592257581,0.048823981140578,0.100890158038598,0.102584098207353
"OVOL2",-0.0234732200109128,-0.035766185164219,0.058841537457807,0.0466502694929529,0.0580840340334915,0.0580840340334915,0.0401910017319114,-0.01841233811281,-0.0512993546243827,-0.0847066674593223,-0.0826322868555768
"SNAIL",-0.0224486368377941,0.0545196743659316,0.0481744889386199,0.0756070985283959,0.0474179745319887,0.0474179745319887,0.0382316735272972,-0.0189790866397693,-0.0820653095713715,-0.076098935431554,-0.0745891055725019
"KEAP1",-0.0191198052519624,0.0586567692955153,0.0522485017883791,0.0781158086576806,0.0513753048544008,0.0513753048544008,-0.0590870788781283,-0.0146718146718147,0.0206004556645299,-0.0763981951444978,-0.0743708495527957
"miR200",-0.0181858081704188,0.0538830625091163,0.0507995742561591,0.0366378695995711,0.0465084479504371,0.0465084479504371,-0.118946036079052,-0.0177972468705889,0.032352117817459,-0.110072214329323,-0.00837794803277825
"miR145",-0.0135390509790516,0.0553916733175121,0.0533913289124695,0.0392452144557911,0.0476691468739923,0.0476691468739923,-0.092110999338612,-0.11375545568253,-0.0138940194023759,-0.0119221461693676,-0.0098612366991966
"Ecad",-0.00897226856131427,0.0524066303751107,0.0447947416445345,0.117736203532061,0.0416087267961076,0.0416087267961076,-0.105352598597968,-0.00686276885541889,0.0485958586649892,-0.130917998325297,-0.128978940153552
"GRHL2",-0.00818854120384443,0.0524403967376147,0.0447505592257581,0.0296405123129086,0.0409077535937345,0.0409077535937345,-0.0166245840673322,-0.00674195849800416,-0.0226902944503542,-0.102584098207353,-0.10066416356683
"NRF2",0.0474179745319887,-0.0243616633787877,-0.0189790866397693,-0.0577836817681767,-0.0191198052519624,-0.0191198052519624,-0.0168540013182711,0.0522485017883791,0.00465275162784012,0.0745891055725019,0.0763981951444978
"miR34",0.0474179745319887,-0.0243616633787877,-0.0189790866397693,-0.0577836817681767,-0.0191198052519624,-0.0191198052519624,-0.0168540013182711,0.0522485017883791,0.00465275162784012,0.0745891055725019,0.0763981951444978
"OCT4",0.0479194792004518,-0.0171690768950091,-0.116661704697846,-0.0161904490679858,-0.0124939728358693,-0.0124939728358693,0.189414632389468,0.158509401045423,0.00622520409776537,-0.0574827200294597,-0.0553848179315576
