"","ZEB","OVOL2","miR200","miR34","GRHL2","Ecad","miR145","OCT4","NRF2","KEAP1","SNAIL"
"ZEB",-0.0616353902270814,-0.0148198534391594,-0.0140461690243882,-0.00529785073250864,-0.00467416112455853,-0.00467416112455853,0.0112748029511019,0.0189553334646015,0.054118704823927,0.0548669309778528,0.0632034451222757
"OVOL2",-0.0209194540971858,-0.0328693271206363,-0.0329889954262318,0.0627665445404746,0.0613413198131692,0.0613413198131692,0.049531323788702,-0.0135664871085331,-0.0200798248497574,0.0816971497049734,-0.0195823347468113
"miR145",-0.0206934008460346,-0.0257447155215852,0.0707362411414675,-0.00509859163395438,-0.00318585655866095,-0.00318585655866095,0.0175605624433725,-0.138639456576886,0.0628463899688346,-0.0991467542828943,0.00254353630288593
"SNAIL",-0.0200992092297218,0.0674311618008729,-0.0313780946315075,-0.0338934330312182,0.0624131912411691,0.0624131912411691,0.0503925297137996,-0.0127284585235883,-0.0190982130115728,0.0823610805367212,-0.0192168774066586
"KEAP1",-0.0158242412370643,0.0725055103366615,-0.0260145589894348,-0.0285861046452179,0.0673217233467913,0.0673217233467913,0.0543871354171645,-0.00868161394477184,-0.113511590944433,0.0879193208941968,0.0868236050295264
"Ecad",-0.0052716375652642,0.0559434202475546,0.0576208353323366,0.0502906045397758,0.0451448756695117,0.0451448756695117,0.0223746995942835,0.0128633956438117,-0.111320976272129,-0.00983270471872126,0.0846000699727354
"GRHL2",-0.00467416112455853,0.0539217067577085,0.0548669309778528,0.045653933818562,0.0420223101256524,0.0420223101256524,0.0189553334646015,0.0140251494993416,-0.0100553178797454,-0.0101365388209901,-0.0154855417064924
"miR200",-0.00361244960376384,0.0544558356374925,0.0570413462036915,0.049206454777554,0.0421793337359685,0.0421793337359685,0.018899088752471,0.0152203837067997,0.0914805801665074,-0.110817549898532,-0.0162648632364215
"OCT4",0.018913068329462,-0.0027206214824637,-0.0378125143136464,0.0115519504474322,0.0146551007522768,0.0146551007522768,0.130937759517119,-0.100357668803344,-0.0189135585361815,0.0789255679267,0.052502403603404
"NRF2",0.0624131912411691,-0.0185610253110954,0.0823610805367212,0.0842599390075769,-0.0158242412370643,-0.0158242412370643,-0.0127284585235883,0.0543871354171645,0.0743408326247388,-0.0260145589894348,-0.0209221870686891
"miR34",0.0624131912411691,-0.0185610253110954,0.0823610805367212,0.0842599390075769,-0.0158242412370643,-0.0158242412370643,-0.0127284585235883,0.0543871354171645,0.0743408326247388,-0.0260145589894348,-0.0209221870686891
