"","miR145","GRHL2","Ecad","miR34","KEAP1","OVOL2","SNAIL","ZEB","miR200","OCT4","NRF2"
"GRHL2",0.385830521231875,0.365815565608804,0.365815565608804,0.351737824488032,0.330732052364227,0.188460790683728,-0.0910756846578452,-0.367387331398429,-0.334428947789064,-0.377858308198464,-0.379171490087521
"Ecad",0.374124710793828,0.356260976696304,0.356260976696304,0.239095629471666,0.317481281862987,0.186743881395096,0.029827006229837,-0.356686669629801,-0.320494796510851,-0.365362806031924,-0.470191570459388
"miR200",0.371466163945812,0.352123262680127,0.352123262680127,0.339716881224118,0.209131134951326,0.18266723789209,-0.0781756138144406,-0.352894276860318,-0.312222931639371,-0.363351346257682,-0.262622210077863
"miR145",0.356455904394008,0.332588022005301,0.332588022005301,0.32120111484086,0.316379633824546,0.171454649248571,-0.0798814220943543,-0.334028808060382,-0.31950854496347,-0.450049970476274,-0.350152781534799
"SNAIL",0.125922327723471,0.119385858285198,0.119385858285198,-0.00457994658263244,0.156093959576071,0.0908792439378487,-0.0498324122547588,-0.116912432283563,-0.15593430989309,-0.119923069288173,-0.129917561827821
"KEAP1",0.125292196804951,0.118924559298427,0.118924559298427,-0.00368032624190259,0.15357324609233,0.0920778138128795,0.0549685032893164,-0.1140743075094,-0.15343180337663,-0.112868883921516,-0.223853455283601
"OVOL2",0.122529285112916,0.115632254978542,0.115632254978542,0.113910874700755,0.146201550876105,-0.0192168758420185,-0.0577364528706717,-0.113903199720075,-0.146302351979611,-0.117711565557629,-0.125102856918629
"OCT4",-0.14446516282059,-0.0043828078256835,-0.0043828078256835,0.000784501130159643,-0.144077643742486,-0.00239287715325176,-0.0267352245410087,0.00405457149552579,0.144077643742486,0.143534153033052,0.126270875144892
"NRF2",-0.119923069288173,-0.1140743075094,-0.1140743075094,0.011877047553378,-0.15343180337663,-0.0850288729801549,-0.0395059779685871,0.119385858285198,0.156093959576071,0.125292196804951,0.13307331343963
"miR34",-0.119923069288173,-0.1140743075094,-0.1140743075094,0.011877047553378,-0.15343180337663,-0.0850288729801549,-0.0395059779685871,0.119385858285198,0.156093959576071,0.125292196804951,0.13307331343963
"ZEB",-0.387725762302374,-0.367387331398429,-0.367387331398429,-0.352053106387142,-0.334428947789064,-0.187993500964102,0.0950215032679748,0.270489251634766,0.337497216773978,0.385830521231875,0.38614878431647
