"","NRF2","ZEB","SNAIL","OVOL2","miR145","miR200","GRHL2","miR34","Ecad","KEAP1","OCT4"
"ZEB",-0.128339055484169,-0.0646453523955535,-0.0384678646614388,-0.0330482955636991,-0.0322944042066784,-0.0309299494870085,-0.0284229325611121,0.0263984913787724,0.0284229325611121,0.0385175229976196,0.0425932691447186
"OVOL2",-0.0100138675544201,-0.036675942353001,0.0561231714164829,-0.0456092990253003,0.0503408475239489,-0.0515723299475383,0.049397273309626,-0.0531256781058539,-0.049397273309626,0.0656367365473579,-0.0317508277014892
"SNAIL",-0.0124583151086998,-0.0355970229729647,-0.0457367141213892,0.0552489908865045,0.0518901701777051,-0.0496355781159658,0.0508208578053441,-0.110863585646466,-0.0508208578053441,0.066563005931502,-0.0300659210119654
"miR145",0.183364040322529,-0.0344597602924482,0.0138195271101079,0.0478826896115914,0.0527408514723507,0.0459519670605036,0.0457829215187697,-0.0429801332059544,-0.0457829215187697,-0.0333278535853263,-0.135923589166214
"KEAP1",-0.114384673314433,-0.0306172620414495,0.0488295619537334,0.0624254716321539,0.0586852882219366,-0.0439861563948054,0.0572538907188945,-0.117038079599656,-0.0572538907188945,0.0738305694075352,-0.0217220980378875
"GRHL2",0.125075100895712,-0.0284229325611121,0.0243041426355259,0.0442394883405089,0.0425932691447186,0.0385175229976196,0.0378247403796394,-0.0376651827734312,-0.0378247403796394,-0.0281212811675543,-0.0285674669614569
"Ecad",0.0175622600556843,-0.0272481331451374,0.0854786764727242,0.046241201710144,0.0437683718748733,0.0403210300750514,0.0397256660180917,-0.132888226670351,-0.0397256660180917,-0.0264622203713664,-0.0256731337796353
"miR200",0.225403397256716,-0.0261014071437413,-0.0429357687673714,0.0447245992438135,0.0417567186082368,0.0409282403230167,0.0371058822610109,-0.0219164016301795,-0.0371058822610109,-0.128723779712315,-0.0256667263661887
"OCT4",-0.263342330683888,0.0421439586193402,0.00643663881747586,-0.0288631664945908,-0.131738723984706,-0.131305464452193,-0.0270530931962356,0.016112330386657,0.0270530931962356,0.147884718531447,0.153486157739779
"NRF2",0.00614681188508254,0.0508208578053441,-0.0794845248166639,-0.0318191896745206,-0.0300659210119654,0.066563005931502,-0.0306172620414495,0.0886156823247996,0.0306172620414495,-0.0439861563948054,0.0586852882219366
"miR34",0.00614681188508254,0.0508208578053441,-0.0794845248166639,-0.0318191896745206,-0.0300659210119654,0.066563005931502,-0.0306172620414495,0.0886156823247996,0.0306172620414495,-0.0439861563948054,0.0586852882219366
