"","ZEB","miR145","OVOL2","GRHL2","Ecad","KEAP1","miR34","miR200","SNAIL","OCT4","NRF2"
"SNAIL",-0.0956181138795953,0.110119324948501,0.0837013452897321,0.103447222628573,0.103447222628573,-0.0437147965178575,-0.0139407681000142,-0.0335109010655928,-0.0591111470484387,-0.0994037150115342,-0.0281526545588071
"KEAP1",-0.0934398340726254,0.112538901972225,0.086548441814935,0.105817252572493,0.105817252572493,-0.0472115112009872,-0.0111493651395129,-0.0307570086078708,0.0443671294091091,-0.0952076136286663,-0.127372366468669
"OVOL2",-0.0915128475100041,0.105454197781381,-0.0268229922035503,0.0983161749015668,0.0983161749015668,-0.0411756982729952,0.103070950917606,-0.0324060022679021,-0.0768379731401433,-0.0961204047968077,-0.0271325295996227
"ZEB",-0.0602593303617184,-0.0324278493368084,-0.0322074163778173,-0.0287193317016014,-0.0287193317016014,-0.0280008332936111,-0.0266473441668786,-0.013765343649019,0.0412590594990961,0.0472044816392139,0.126105461333963
"Ecad",-0.0390293263366698,0.0569839682569141,0.0528500469622613,0.0526231206796837,0.0526231206796837,0.0172123317444933,0.0519539693726909,0.0348149507321539,0.0681123897916286,-0.0384261451276624,-0.222962620384824
"miR145",-0.0343370503791222,0.0567032705276491,0.0512319136451784,0.049949502549749,0.049949502549749,-0.102703131329539,0.0489478338433928,-0.0826030061730934,-0.0252284272141212,-0.135408597567433,-0.106875291928667
"GRHL2",-0.0287193317016014,0.0472044816392139,0.0479527038797973,0.0425773546159891,0.0425773546159891,0.0101495261040687,0.0420219732469973,0.0280008332936111,-0.0241506967193552,-0.0283821197470538,-0.122865158590349
"miR200",0.0243645749084491,-0.042947153873244,-0.0460571851866111,-0.0383668394256217,-0.0383668394256217,0.0881930427968167,-0.0413963644974933,-0.0298695589070218,0.0255446851590695,0.0240332671393418,0.0213673952555514
"OCT4",0.0450091561976009,-0.130768721708197,-0.0276604200431553,-0.0261395700956074,-0.0261395700956074,0.138069485203784,-0.024560188061803,0.162603284737584,0.0487285644514568,0.155905985971744,0.015735056300712
"NRF2",0.103447222628573,-0.0994037150115342,-0.0724140371399898,-0.0934398340726254,-0.0934398340726254,0.0307570086078708,0.0250944364616334,0.0437147965178575,-0.0284994724205878,0.112538901972225,0.0301546905275889
"miR34",0.103447222628573,-0.0994037150115342,-0.0724140371399898,-0.0934398340726254,-0.0934398340726254,0.0307570086078708,0.0250944364616334,0.0437147965178575,-0.0284994724205878,0.112538901972225,0.0301546905275889
