"","NRF2","miR200","miR34","ZEB","miR145","GRHL2","Ecad","OVOL2","OCT4","SNAIL","KEAP1"
"miR145",0.216961335528036,0.175465973946127,0.069185397917633,-0.0514254978094639,0.0659198146664216,0.0585066069785318,0.0585066069785318,0.0525493952116716,-0.154146382434459,-0.119157247059959,-0.17028449710007
"ZEB",-0.163704489680932,-0.149168730422797,-0.0543906003925351,-0.0513970791966148,-0.0488539402212446,-0.044337113111762,-0.044337113111762,-0.0418504113108041,0.0551644681812571,0.113062434168775,0.151584992248417
"GRHL2",0.159849238971376,0.151584992248417,0.0605107784340781,-0.044337113111762,0.0551644681812571,0.0500426805019399,0.0500426805019399,0.0488835175994149,-0.0458359865405029,-0.106878688585736,-0.147581724274561
"SNAIL",-0.00387737989884168,-0.0315079463594719,-0.0448823071977612,-0.0410953963518518,0.0525393263579053,0.0514848076355804,0.0514848076355804,0.0541123421945697,-0.0367217512744793,-0.0517676129966981,0.0381539345910096
"miR200",0.258881246260721,0.15153523262511,0.0601299008228368,-0.0408921166346328,0.0529651335087827,0.0479498618225338,0.0479498618225338,0.0488152214941884,-0.0417781668679759,-0.0912580060000742,-0.246701309010675
"KEAP1",-0.107120953259158,-0.0291379028216317,-0.0392077326067474,-0.0371263805770466,0.0582461999801361,0.0567659247063866,0.0567659247063866,0.0603575947928498,-0.0287983472193999,0.0539633440649791,0.0420091899503446
"Ecad",0.249308307570128,0.165853645654705,0.138312959897649,-0.0366720075057117,0.0442370205138789,0.0378544878765375,0.0378544878765375,0.0388493886199895,-0.0417880409220422,-0.138368668135448,-0.164854736899564
"OVOL2",0.000743480782514568,0.0300673601233951,-0.052750988047259,0.0421181572473744,-0.0512699900693682,-0.0503891019889073,-0.0503891019889073,-0.0834087131454158,0.038454338944659,0.0611919037172216,-0.0352718802570891
"NRF2",-0.00406289835022516,0.0381539345910096,0.060434047275685,0.0514848076355804,-0.0367217512744793,-0.0371263805770466,-0.0371263805770466,-0.036946345705925,0.0582461999801361,-0.0335041948414814,-0.0291379028216317
"miR34",-0.00406289835022516,0.0381539345910096,0.060434047275685,0.0514848076355804,-0.0367217512744793,-0.0371263805770466,-0.0371263805770466,-0.036946345705925,0.0582461999801361,-0.0335041948414814,-0.0291379028216317
"OCT4",-0.296947166749462,-0.259246673024445,-0.0537486543426006,0.0540099610063368,-0.149000893496315,-0.0437225540733451,-0.0437225540733451,-0.0387337023132573,0.163682201684427,0.113945771595079,0.264491428269201
