"","ZEB","OCT4","OVOL2","miR200","miR34","GRHL2","Ecad","miR145","KEAP1","NRF2","SNAIL"
"SNAIL",-0.0859703551312551,0.0896584396047505,0.0832208638278752,0.11552259160451,-0.0149830101038394,0.0998041654337899,0.0998041654337899,-0.106425217506122,-0.103722199322432,0.0148552055335244,-0.0565736072873291
"KEAP1",-0.0836889039610044,0.086460520671047,0.0861880558353988,0.117474221678661,-0.011822178915775,0.102586333062515,0.102586333062515,-0.109313281407243,-0.101585489948345,-0.0823921454208059,0.047282655479739
"ZEB",-0.0716270589660285,-0.0362694415079369,-0.0183773297487921,-0.0179145824839671,-0.00751059779542312,-0.00658475431367815,-0.00658475431367815,0.009631932396201,0.0366821611083599,0.0483500056695295,0.0553650886095164
"OVOL2",-0.0259861493253509,0.0207267309239344,-0.0389051653288918,-0.045514147520807,0.0564070572148429,0.054649250929629,0.054649250929629,-0.0554677461786099,0.0701149220977077,-0.0279422215402677,-0.0246237675938287
"Ecad",-0.0191670668132397,0.0180773438179889,0.0510418536016839,0.101266775682801,0.0477821338254096,0.0435545419811519,0.0435545419811519,-0.0473834662669685,-0.0805415175614209,-0.111547946094688,0.0728390874514494
"GRHL2",-0.00658475431367815,0.00557145937098688,0.0459870240304332,0.0366821611083599,0.0363310725728712,0.0321648107360398,0.0321648107360398,-0.0362694415079369,-0.0149092852913664,-0.0201333547707594,-0.0193374089864305
"miR200",-0.0040271867117583,0.00296744352745302,0.0445200280334845,0.0241661290270873,0.0371128741506748,0.0293736039220888,0.0293736039220888,-0.0334251626895942,-0.102619273470468,0.0757300257988738,-0.0196956964873752
"OCT4",0.00324771982239062,0.136890038372129,-0.00230332047213797,0.132638681470191,0.000920313477795775,-0.00410433658646075,-0.00410433658646075,-0.135768052217916,-0.133308844640354,0.12140673373075,-0.0262064823642043
"miR145",0.00524999730413452,-0.223066897078017,0.0331863156905439,-0.0848015735447467,0.0173935247729836,0.0155492846647823,0.0155492846647823,0.0982388458305455,0.102482007420425,-0.0847064995369324,-0.00622784351659356
"NRF2",0.0998041654337899,-0.109313281407243,-0.0657716935271446,-0.103722199322432,0.0331762346960603,-0.0836889039610044,-0.0836889039610044,0.0896584396047505,0.117474221678661,0.00295952130733074,-0.0205439654054649
"miR34",0.0998041654337899,-0.109313281407243,-0.0657716935271446,-0.103722199322432,0.0331762346960603,-0.0836889039610044,-0.0836889039610044,0.0896584396047505,0.117474221678661,0.00295952130733074,-0.0205439654054649
