"","ZEB","KEAP1","OVOL2","miR145","miR34","GRHL2","Ecad","miR200","OCT4","SNAIL","NRF2"
"ZEB",-0.0672291034513358,-0.0292282058564443,-0.0170443457373025,-0.00903721236789832,-0.00644795556045324,-0.00611004338712593,-0.00611004338712593,-0.00073165765905232,0.0406106789929113,0.0450660040449034,0.120123138970012
"OVOL2",-0.023719675038034,-0.0784960118792404,-0.0376117140177135,0.0565672683865686,0.0592459300680582,0.0558052365353602,0.0558052365353602,-0.044419933572699,-0.0188442657148458,-0.0487457682289761,0.0155397023312167
"SNAIL",-0.0228812110139966,-0.0788175046700798,0.0628797134407273,0.0579428053858572,-0.0376496126730331,0.057110565061421,0.057110565061421,-0.0424401840479022,-0.0177425829164468,-0.0390505884212215,0.0177405006003027
"KEAP1",-0.0181728752165806,-0.0844619961673249,0.0687223276285502,0.0637157372788629,-0.0319382642535352,0.0626732727782027,0.0626732727782027,-0.0372672766953777,-0.011721872248188,0.0663311353545556,-0.0807239887016052
"miR200",-0.017049563435205,0.0933585331694041,0.0508786310963463,0.046832285262836,0.0272430349642366,0.0424498977210734,0.0424498977210734,0.0201700580090709,-0.0171813930983674,0.0462521077447469,-0.212152563494411
"GRHL2",-0.00611004338712593,-0.00300218630041846,0.0495724623221275,0.0406106789929113,0.0378185045218776,0.0366529646836888,0.0366529646836888,0.0292282058564443,-0.00504997770280218,-0.0146773114653981,-0.111135437929331
"OCT4",-0.00156845571699327,0.134506532850558,0.00222152753690428,-0.136317195428987,-0.00143564616125706,0.00348183334888823,0.00348183334888823,0.136604434948461,0.138585039783248,0.0269628446105954,-0.121379511508528
"miR145",0.00708104761924888,-0.119050396130235,0.0358879719857381,0.0272690619217783,0.0202389517091578,0.0183759886129775,0.0183759886129775,-0.0922919480701602,-0.0978287382535383,-0.0142222789841854,-0.0712771556524099
"Ecad",0.0089322939338441,-0.0659048096466868,-0.037718263250564,-0.0314092490825946,-0.120403492777995,-0.0260829892323022,-0.0260829892323022,-0.0839942917250885,0.0113820381982409,0.0801293568354448,0.0118825127774979
"NRF2",0.057110565061421,0.0372672766953777,-0.021315461302765,-0.0177425829164468,0.077648291930776,-0.0181728752165806,-0.0181728752165806,0.0788175046700798,0.0637157372788629,-0.021969217731328,-0.00623727698306479
"miR34",0.057110565061421,0.0372672766953777,-0.021315461302765,-0.0177425829164468,0.077648291930776,-0.0181728752165806,-0.0181728752165806,0.0788175046700798,0.0637157372788629,-0.021969217731328,-0.00623727698306479
