"","miR200","SNAIL","ZEB","miR145","Ecad","miR34","NRF2","GRHL2","OVOL2","OCT4","KEAP1"
"ZEB",-0.115169215775547,-0.072136844801727,-0.0656615354278636,-0.042064374306474,-0.0342619398617736,-0.0198761217001158,0.0206151857652035,0.0342619398617736,0.0361920297233755,0.0420123072440976,0.115188392456703
"miR145",0.142008026156003,0.0767315623315605,-0.046960916080345,0.0584428505282449,0.0468333710853051,0.0338361223078773,-0.0232166602269252,-0.0468333710853051,-0.0404068751001707,-0.158483309058252,-0.141816119606149
"OVOL2",-0.043519893884289,0.0754827105239756,-0.0399901403848556,0.0403139527088139,0.0398534796599596,0.0325489936006771,-0.0416267186964831,-0.0398534796599596,-0.0744766453046759,-0.0407190203637307,0.043493367278103
"KEAP1",-0.0285964945077371,0.0287349857389628,-0.034417353544386,0.0343229536561794,0.0335957261921464,-0.0432655467138226,-0.134039613033617,-0.0335957261921464,-0.039086405308803,-0.0360100702205965,0.0282664615044367
"miR34",-0.028670034734241,0.0285999418496988,-0.0342777919320389,0.03523378778849,0.034417353544386,-0.0429036135650042,-0.0319119534591489,-0.034417353544386,-0.0401820955936824,-0.0343229536561794,0.0285964945077371
"GRHL2",0.115188392456703,0.0719748895602664,-0.0342619398617736,0.0420123072440976,0.0343252710840662,0.0198761217001158,-0.0205678820755157,-0.0343252710840662,-0.0361286684054601,-0.0421115464104886,-0.114963719254089
"SNAIL",-0.0285559992463972,-0.0715896915257753,-0.0342420192419326,0.0349445775548971,0.0342777919320389,-0.0429894618117188,-0.0325566769067227,-0.0342777919320389,-0.0397460079230702,-0.03523378778849,0.028670034734241
"Ecad",0.0902737667540773,0.0914285403599582,-0.0316710737083285,0.0380230902521889,0.0315764752786624,0.0270929593219033,-0.125060788428105,-0.0315764752786624,-0.0346332266810935,-0.0384040426331412,-0.0901478538857821
"miR200",0.117708721185681,0.00172472209337999,-0.0304804818841842,0.038041958329084,0.0303996062708775,0.022400836383804,0.082891366139957,-0.0303996062708775,-0.0348395960931327,-0.0382436650785022,-0.217622572051959
"NRF2",0.028670034734241,-0.0285999418496988,0.0342777919320389,-0.03523378778849,-0.034417353544386,0.0429036135650042,0.0319119534591489,0.034417353544386,0.0401820955936824,0.0343229536561794,-0.0285964945077371
"OCT4",-0.230551439049088,-0.0250595074193685,0.0399401072299731,-0.150179799320204,-0.0400922167488267,-0.0285556608643991,-0.0798576097035933,0.0400922167488267,0.0384273995154039,0.149153301349328,0.230143513641163
