"","OVOL2","ZEB","miR145","GRHL2","Ecad","miR34","miR200","KEAP1","OCT4","SNAIL","NRF2"
"OVOL2",0.263837549383938,-0.091275916059204,0.110346853245994,0.103248583914225,0.103248583914225,0.104040960178518,-0.144573006345405,0.158817793867289,-0.0956351407578443,-0.0470719512982701,-0.108965796857225
"ZEB",-0.149009906323603,-0.0555809186614564,-0.0286926650210254,-0.0251544304157979,-0.0251544304157979,-0.0237056691255773,-0.0107518237625643,0.0336423888354357,0.0519978821406755,0.0575585866110841,0.0593469314698019
"miR145",0.181068965856067,-0.0306853806490813,0.0613929876439983,0.0549425491501914,0.0549425491501914,0.0560708804565772,0.0401825205541035,-0.0115216945215628,-0.131790829855731,-0.0246478496882088,-0.0309300849399384
"SNAIL",0.0874491545583824,-0.0302934584392188,0.058999893220488,0.0580888386518108,0.0580888386518108,-0.0386407086998054,-0.044475586448416,0.0774135967572241,-0.0253254401244554,-0.0259915344012636,-0.0301534236700385
"KEAP1",0.0900365709760843,-0.0257023350806754,0.0645871850908984,0.0634706891755601,0.0634706891755601,-0.0325243448396158,-0.0389520582956857,0.0836008088850303,-0.0188816636185057,0.0817109610083539,-0.123425563164445
"Ecad",0.162746777801114,-0.0237759363415056,0.0526633115951212,0.0489391186326796,0.0489391186326796,0.0519569904082216,0.0374492595320745,-0.00770864004076244,-0.0221326993502232,0.0764175913178879,-0.130673407785613
"miR200",0.156655376827726,-0.0228053132525573,0.0509459361221481,0.0465989186873985,0.0465989186873985,0.0515801943248791,0.0372169401240024,-0.109084461900589,-0.0220708391477494,-0.0248634212347207,0.0716357057093959
"GRHL2",-0.160209019265152,0.0251544304157979,-0.0519978821406755,-0.0475794404912197,-0.0475794404912197,-0.0492713219445684,-0.0336423888354357,0.00713095092693896,0.0247401911052802,0.024563886964441,0.0313667990194708
"OCT4",-0.155304795285075,0.0514401827151135,-0.127830117248888,-0.0233479563121033,-0.0233479563121033,-0.0220317986713143,-0.110483017798103,0.144020313835399,0.1617045502878,0.0660800398388897,-0.035436099519788
"NRF2",-0.0710080830286774,0.0580888386518108,-0.0253254401244554,-0.0257023350806754,-0.0257023350806754,0.0755092288081063,0.0774135967572241,-0.0389520582956857,0.0645871850908984,-0.0264104883547414,0.0703977399238559
"miR34",-0.0710080830286774,0.0580888386518108,-0.0253254401244554,-0.0257023350806754,-0.0257023350806754,0.0755092288081063,0.0774135967572241,-0.0389520582956857,0.0645871850908984,-0.0264104883547414,0.0703977399238559
