"","OCT4","ZEB","miR34","OVOL2","GRHL2","Ecad","miR145","miR200","KEAP1","SNAIL","NRF2"
"ZEB",-0.0903435134955281,-0.0124110949819045,-0.00989322669393571,-0.00446451760367921,-0.00312876015503909,-0.00312876015503909,-0.00312077060268217,0.0135904583754763,0.0609556935038385,0.0736850360405212,0.100620053628749
"SNAIL",0.00773122524460148,-0.00929255842545374,0.096654044406595,0.0787133916811579,0.0750785355309321,0.0750785355309321,0.0754286668463812,-0.0113962093955201,0.0691848332152528,-0.0599767126188318,-0.00889156303741869
"KEAP1",0.00612454559822981,-0.0077523718333703,0.0979097421461953,0.0805176722018651,0.0769015899621803,0.0769015899621803,0.077290189770009,-0.00992611869841207,0.0704164534461726,0.0409755658982349,-0.107003376932322
"OVOL2",0.00302858591609593,-0.00527385758681574,0.0757432163967231,-0.00576345170196176,0.0931407619243083,0.0931407619243083,0.0934103837270069,-0.0201059566043176,0.0973249072117769,-0.0138451003859832,-0.00869978213407553
"miR200",0.00268484173079797,-0.00447283698340726,0.0510797738893087,0.0920240585367056,0.0902063787960993,0.0902063787960993,0.0906445003809143,0.0621942924189615,-0.0871583969465771,-0.00148218929836828,0.083987464699629
"Ecad",0.00249405119208636,-0.00414208426199727,0.151413787768908,0.0901494329809515,0.0877481764008678,0.0877481764008678,0.0882627586750796,0.066321707734917,0.00680009197968051,0.0659244581771949,-0.114176769657599
"GRHL2",0.00142522040919008,-0.00312876015503909,0.066393597613817,0.0920932202806949,0.0898752625443534,0.0898752625443534,0.0903435134955281,0.0609556935038385,0.0149021496334164,-0.00701836937385452,-0.015638975104624
"OCT4",0.141400875507981,-0.00139930234761995,0.00668076613075932,0.00240148074906912,0.00374499124362508,0.00374499124362508,0.143907440320585,-0.138801312932207,0.140928352559247,0.0231384736659003,-0.123206749461831
"miR145",0.0877603724751032,0.0149186493219359,0.0440410142544995,0.0683748197830903,0.0558121362607558,0.0558121362607558,0.0598439867704504,-0.0713683752662049,0.13295369024326,0.00340365752748663,-0.0805804470158962
"NRF2",-0.077290189770009,0.0750785355309321,-0.0528384200256929,-0.0105761090170587,-0.0077523718333703,-0.0077523718333703,-0.00773122524460148,0.0691848332152528,-0.00992611869841207,0.0118941167486253,0.0749248171941883
"miR34",-0.077290189770009,0.0750785355309321,-0.0528384200256929,-0.0105761090170587,-0.0077523718333703,-0.0077523718333703,-0.00773122524460148,0.0691848332152528,-0.00992611869841207,0.0118941167486253,0.0749248171941883
