"","NRF2","miR200","miR145","GRHL2","Ecad","OVOL2","SNAIL","ZEB","miR34","OCT4","KEAP1"
"OVOL2",0.13106343277923,0.15381786126916,0.13508691824134,0.127886113818719,0.127886113818719,-0.010603442116919,0.0544697714639499,-0.118450582030246,-0.126979534783329,-0.120754418025878,-0.152730270415534
"miR145",0.240061651139594,0.190113908240514,0.0982491798783444,0.0951960420664265,0.0951960420664265,0.0797740036145378,0.00988661273427593,-0.072044263522329,-0.0877712460850504,-0.164115666729322,-0.185933682958912
"GRHL2",0.185086145830421,0.166472870529194,0.0934901064979503,0.0909765213477913,0.0909765213477913,0.0771162672865729,0.0218146108648388,-0.0705435660826637,-0.0854243910325937,-0.0634867985257373,-0.163511269222005
"miR200",0.283367036871476,0.165118167697265,0.0916005944511767,0.0892213229265051,0.0892213229265051,0.0772819911440567,-0.0468376036696919,-0.066538409247743,-0.0652243456947279,-0.0592499350252652,-0.261471187703009
"Ecad",0.269855492535326,0.177586042798411,0.0736123462245246,0.0689982255386445,0.0689982255386445,0.0600474999172424,-0.0710245043791787,-0.0602762503234331,-0.064115584151698,-0.0592722101701028,-0.177023631986692
"SNAIL",-0.00340959388890602,-0.0285723874039212,0.0738945952724699,0.0727164403269027,0.0727164403269027,0.0715916714743875,-0.0540178745880264,-0.0432397436793148,-0.130156543164232,-0.0347622259732485,0.0331839825323251
"KEAP1",-0.109198276323871,-0.0269036471888923,0.082125600853402,0.0808236033487958,0.0808236033487958,0.0804779552837169,0.0398398478822695,-0.0356340989756179,-0.137551982773658,-0.0238433922644449,0.0374175557226028
"ZEB",-0.202872333153032,-0.16608933690608,-0.0717573146620657,-0.0705435660826637,-0.0705435660826637,-0.0534032940567297,-0.0528805708177245,-0.0124946428831849,0.0614815126943148,0.0934901064979503,0.166472870529194
"NRF2",-0.0217346205664723,0.0331839825323251,-0.0347622259732485,-0.0356340989756179,-0.0356340989756179,-0.0305144782932129,-0.0914941355257536,0.0727164403269027,0.0902239010193464,0.082125600853402,-0.0269036471888923
"miR34",-0.0217346205664723,0.0331839825323251,-0.0347622259732485,-0.0356340989756179,-0.0356340989756179,-0.0305144782932129,-0.0914941355257536,0.0727164403269027,0.0902239010193464,0.082125600853402,-0.0269036471888923
"OCT4",-0.334959553734062,-0.27449104048354,-0.161965672799638,-0.061288768129174,-0.061288768129174,-0.0444101976052371,-0.00935409286949182,0.0925032425507575,0.0430584197061934,0.199325424530361,0.276122742115242
