"","KEAP1","ZEB","miR34","miR145","OVOL2","GRHL2","Ecad","OCT4","SNAIL","miR200","NRF2"
"NRF2",-0.0999451327542681,-0.220308119892478,0.38256319846403,0.225805872578025,0.142898281239856,0.213945752270772,0.213945752270772,-0.228969822721841,-0.565532613859529,0.0999598407995689,-0.0740096230402746
"miR34",-0.0999451327542681,-0.220308119892478,0.38256319846403,0.225805872578025,0.142898281239856,0.213945752270772,0.213945752270772,-0.228969822721841,-0.565532613859529,0.0999598407995689,-0.0740096230402746
"ZEB",-0.103247423557901,-0.0564931334546197,-0.0379901476566351,-0.032657217643496,-0.0316049000304406,-0.0291042041973174,-0.0291042041973174,0.0510785443122454,0.09471253815445,0.102691299804385,0.144302306686792
"miR200",-0.00677590221604009,-0.0462704070335512,0.0835489438278378,0.0665813802609059,0.0587234674448041,0.0619009672319661,0.0619009672319661,-0.0452470125339858,-0.150378616077939,-0.0939420072316482,-0.0366867226996372
"miR145",0.00999162098413968,-0.0363380944364451,0.0642345409859292,0.0618007595542161,0.0549961751478883,0.0552761642555202,0.0552761642555202,-0.136676012420029,-0.105507164132154,-0.0108343410508898,-0.113881591709577
"OVOL2",0.086282425819283,-0.0324501116322038,0.0515699140757892,0.0534381622716286,-0.0422575429437506,0.0525392381919186,0.0525392381919186,-0.0276775831110667,-0.0438939871358295,-0.0870835293261003,-0.0567389430861603
"GRHL2",0.102491704603653,-0.0291042041973174,0.0542735304459526,0.0510785443122454,0.0510726649599511,0.0465778641662275,0.0465778641662275,-0.0282866157644452,-0.085054116481894,-0.103247423557901,-0.130678844056707
"Ecad",0.135486772435361,0.00736698075153025,-0.014594459650831,0.0115810752245799,0.0268023232774563,0.00637817107894936,0.00637817107894936,0.00488150980943373,0.203746631633741,-0.1360156064822,-0.212353321207666
"OCT4",0.0636341297148411,0.0590910354043827,-0.0531998500601413,-0.14160786143864,-0.0327811098364736,-0.0370511666989147,-0.0370511666989147,0.168511657093928,0.140782040957288,-0.0643625679432793,0.0383438052657725
"KEAP1",0.100463756045169,0.213945752270772,-0.384330283837673,-0.228969822721841,-0.148376732664253,-0.217364782220415,-0.217364782220415,0.216086387139019,0.557294936614424,-0.0999451327542681,-0.0334644631572159
"SNAIL",0.0999598407995689,0.21719078546893,-0.389292380264202,-0.23279882771336,-0.148986518199702,-0.220308119892478,-0.220308119892478,0.225805872578025,0.465785458360161,-0.0996724713702025,0.0720075870714928
