"","OCT4","ZEB","OVOL2","GRHL2","Ecad","miR34","miR145","miR200","KEAP1","SNAIL","NRF2"
"miR200",0.0181339228114168,-0.0190493351169897,0.091956317239249,0.0953473887105628,0.0953473887105628,0.0727730686860639,-0.0963495938742562,0.0494448511822952,-0.0824303972720818,0.0583063535155204,-0.234922488441227
"miR145",-0.0863428409873064,-0.0165470099645474,-0.0688871018292498,-0.0560260922131653,-0.0560260922131653,-0.0557789043121329,0.0600178241295855,0.0696512032767147,-0.133072146121938,0.00234687148715955,0.0880013267572421
"ZEB",-0.0908961157444804,-0.0116465140068417,-0.00403142324461567,-0.00270809794169095,-0.00270809794169095,-0.00267293799633193,0.0027153389039098,0.0146194682288191,0.0612370901961362,0.0730274641788938,0.161714806743117
"OVOL2",0.00331523434914637,-0.00527835511485863,-0.00721115993793908,0.09135084471676,0.09135084471676,0.09318499353285,-0.0916113646602728,-0.0189442884683531,0.0948156874815634,-0.032840000095598,0.0163349235307673
"SNAIL",0.00305423115026693,-0.00503664445386163,0.0932315986374221,0.0918876256476474,0.0918876256476474,-0.00671357351383212,-0.0921383987438895,-0.0180377170084808,0.0946193892248745,-0.0231782755466722,0.0187179810969572
"Ecad",0.00118408720349492,-0.0027544013160803,0.0930232904263825,0.0910431157234211,0.0910431157234211,0.0889753761533418,-0.0914425906048555,0.064907381123304,0.0126129747904037,0.0933670562504468,-0.222109849917463
"GRHL2",0.00121698904914469,-0.00270809794169095,0.0925709448666654,0.0904563851199971,0.0904563851199971,0.0875764988271925,-0.0908961157444804,0.0612370901961362,0.015764543790792,-0.00173771152871715,-0.132457474671215
"OCT4",0.138655269117703,0.00134143822045924,-0.00289350948228727,-0.00439163436168092,-0.00439163436168092,0.000660284307211284,-0.135432542930069,-0.137156381271041,0.134359178473838,-0.0271429896370969,0.12140673373075
"KEAP1",-0.00133667502088555,0.00321674476758829,-0.0952772987951183,-0.0939933151359954,-0.0939933151359954,0.00471270382600433,0.0942814602969592,0.0161813836358173,-0.0960965180063972,-0.0782799907413253,0.0805738912630913
"NRF2",-0.0942814602969592,0.0918876256476474,-0.00364106796969829,-0.00321674476758829,-0.00321674476758829,0.0924495571366281,0.00305423115026693,0.0946193892248745,-0.0161813836358173,-0.00461354914780737,0.010633902174166
"miR34",-0.0942814602969592,0.0918876256476474,-0.00364106796969829,-0.00321674476758829,-0.00321674476758829,0.0924495571366281,0.00305423115026693,0.0946193892248745,-0.0161813836358173,-0.00461354914780737,0.010633902174166
