"","Ecad","miR145","miR34","OVOL2","miR200","ZEB","GRHL2","SNAIL","KEAP1","OCT4","NRF2"
"miR200",0.102963270433198,0.103695426981884,0.0789952688440499,0.0973529061113643,0.0811806384800407,-0.0204108360772372,-0.102963270433198,0.0599929573953166,-0.0993102450656634,-0.0195526806669113,-0.248819653713197
"miR145",0.0989952310480543,0.0991393053051035,0.0926965703171193,0.0983798139072943,0.0941219023600594,-0.00507959970032881,-0.0989952310480543,0.0101172501590498,-0.0011139757851741,-0.103643688312521,-0.20470652090758
"Ecad",0.0982796314779266,0.0984075475060796,0.0948887457911216,0.0982113579248459,0.0958913996129626,-0.00354876401032652,-0.0982796314779266,0.0949224637233833,-0.00213667788040152,-0.00224428219995713,-0.23519983233784
"OVOL2",0.095768641873571,0.0959013923575696,0.096879207153779,-0.0036529514863359,-0.00303080650815254,-0.00332657413738562,-0.095768641873571,-0.031640275183902,0.0944680180313103,-0.00215839485692324,0.011461968863335
"SNAIL",0.0960272778275187,0.0961552091435418,-0.00330246588549218,0.096572435416047,-0.00293599565918843,-0.00315626392727337,-0.0960272778275187,-0.0221104042096691,0.0947984232466536,-0.00198390769749066,0.0140551119108933
"ZEB",-0.0038664691216037,-0.00377322502230502,-0.00330445730986015,-0.00314430540563693,-0.00277122412785591,-0.00244059072783838,0.0038664691216037,0.0742069493036405,0.0954137707911134,0.0986602394969484,0.1754460469121
"KEAP1",-0.0971031213749934,-0.0972379824817668,0.00223449238227564,-0.0976529658698909,0.00185828499102783,0.00208589370470446,0.0971031213749934,-0.0787128911742257,-0.0958233957878218,0.000918964076858808,0.0851867220456523
"GRHL2",-0.0985351316813366,-0.0986602394969484,-0.0942354662119373,-0.0983288452440656,-0.0954137707911134,0.0038664691216037,0.0985351316813366,-7.16137116716475e-05,0.001704620464316,0.00253056698619745,0.147324003392706
"NRF2",-0.00208589370470446,-0.00198390769749066,0.0934629360697357,-0.00214529603789674,0.0947984232466536,0.0960272778275187,0.00208589370470446,-0.00410114235585973,-0.00185828499102783,0.0972379824817668,0.012955407261146
"miR34",-0.00208589370470446,-0.00198390769749066,0.0934629360697357,-0.00214529603789674,0.0947984232466536,0.0960272778275187,0.00208589370470446,-0.00410114235585973,-0.00185828499102783,0.0972379824817668,0.012955407261146
"OCT4",-0.0113821355368338,-0.111600576278001,-0.000931928293567197,-0.00773110684586903,-0.100822901758559,0.101326895764198,0.0113821355368338,0.022401434525889,0.189517540453198,0.202242734310944,0.30553907517801
