"","ZEB","miR200","OVOL2","miR145","GRHL2","Ecad","miR34","OCT4","NRF2","KEAP1","SNAIL"
"ZEB",-0.0865595952000785,-0.0288134469070335,-0.0254976678284634,-0.0193470962338506,-0.0127338859623852,-0.0127338859623852,-0.0098143782098657,0.0208153873928634,0.0243748373135158,0.0309804118776292,0.031981892776958
"OVOL2",-0.0786426945635767,-0.0334758635290034,-0.038405631461429,0.086266802184113,0.0793259981880568,0.0793259981880568,0.0759345090647985,-0.0848792300045043,-0.0576828404242829,0.035550244132749,-0.057302477964514
"SNAIL",-0.0727730386253556,-0.0209031116480681,0.0641053066417606,0.0794796793824512,0.0731563174479231,0.0731563174479231,0.0878746239527462,-0.0787158677398854,-0.0506466932559002,0.0220571507850476,-0.0879555093021623
"KEAP1",-0.0725406044522741,-0.0201892290318486,0.0646883882041337,0.0799622723419947,0.0735212564533343,0.0735212564533343,0.0879480563224406,-0.077815033078191,-0.149376721166703,0.0232538212053516,0.0130381843815339
"Ecad",-0.0210942681783984,0.0393738311451248,0.0308550044589432,0.0283311273662622,0.0222483690203244,0.0222483690203244,0.104783627833701,-0.0259637804274866,-0.12724104568973,-0.0358734534065199,0.0414557094274046
"miR145",-0.00546585230599618,0.028431227640132,0.0197683440532191,0.0198244114128252,0.00648148837761033,0.00648148837761033,0.00575209637148935,-0.117787998735819,-0.0114365221083492,-0.0253857541315796,-0.0272958465757807
"OCT4",-0.00283354528045243,-0.139324654075704,0.00151763146405163,-0.136925263312993,0.00295363174270525,0.00295363174270525,0.00617485653038336,0.137187855817171,-0.124376867858917,0.139703441954491,0.0222396862902535
"GRHL2",0.0127338859623852,-0.0309804118776292,-0.0271925830827007,-0.0208153873928634,-0.0139256644182549,-0.0139256644182549,-0.00996274616238796,0.018400567677349,0.0209689716559946,0.0273856406357992,0.0294936713399733
"miR200",0.0197298288705276,-0.0246859993961256,-0.0307782704810078,-0.0280151769428767,-0.0207380781830849,-0.0207380781830849,-0.0203188938230778,0.0259825935448938,0.12862480771498,-0.0783483645361037,-0.0264245026964052
"NRF2",0.0731563174479231,0.0220571507850476,-0.0632274678242944,-0.0787158677398854,-0.0725406044522741,-0.0725406044522741,-0.0878416053963175,0.0799622723419947,0.0523772667204404,-0.0201892290318486,-0.0106749163194137
"miR34",0.0731563174479231,0.0220571507850476,-0.0632274678242944,-0.0787158677398854,-0.0725406044522741,-0.0725406044522741,-0.0878416053963175,0.0799622723419947,0.0523772667204404,-0.0201892290318486,-0.0106749163194137
