"","ZEB","miR145","OVOL2","GRHL2","Ecad","miR34","miR200","KEAP1","OCT4","SNAIL","NRF2"
"OVOL2",-0.0907882567998792,0.110142118064153,-0.0229724353653197,0.103028304334044,0.103028304334044,0.105252967887482,-0.038057498694548,0.0462223880786002,-0.0950339563818291,-0.0552826572553435,-0.0667576743844284
"ZEB",-0.0557429313352804,-0.0289050488127916,-0.028621740262115,-0.0253768209382154,-0.0253768209382154,-0.0239617565756642,-0.00807035874168494,0.0206950071691971,0.0519082769706589,0.0557994546057696,0.0623397339450623
"miR145",-0.0319499023681124,0.0616616485339645,0.0558440336492277,0.0551961586863135,0.0551961586863135,0.0537424837119205,-0.0880075720365919,0.103418502366171,-0.133030495465859,-0.0141045561316641,-0.114136615103755
"SNAIL",-0.030493619654355,0.0572047377506485,0.0603726275234342,0.0562959499895962,0.0562959499895962,-0.0376408789043927,0.0924332174373165,-0.0752412272899827,-0.0256956535830549,-0.0400892255395983,0.0408780502331218
"KEAP1",-0.0260603371499279,0.0627042825379926,0.0660958846734282,0.0615493379450511,0.0615493379450511,-0.0317992024395965,0.0954647895785545,-0.0717495609128308,-0.0192993745625325,0.0669724516167291,-0.0535491933172834
"GRHL2",-0.0253768209382154,0.0519082769706589,0.0525960789283593,0.0474794175183293,0.0474794175183293,0.0488319346172073,0.0206950071691971,-0.00602997448945852,-0.0248490642680456,-0.0249396195056518,-0.0394210962913253
"Ecad",-0.0240288738656927,0.0522617177047036,0.0538221273313672,0.0485204073062376,0.0485204073062376,0.0517704556913487,0.0832523219788593,-0.0669759852039076,-0.0223025340312342,0.072682928950571,-0.122515180628792
"miR200",0.0347891725661407,-0.0576713787750203,-0.0541416917903852,-0.0528460011637576,-0.0528460011637576,-0.037355589771518,-0.0264272457159593,-0.085547483871482,0.035468120435222,-0.0372591085315782,0.142745131454943
"OCT4",0.0549281421337781,-0.135235105299767,-0.0287722838212264,-0.0303744634851511,-0.0303744634851511,-0.0193257498146599,0.161531497503399,-0.145039656011557,0.1648125700885,0.0096765037575618,0.210360948832588
"NRF2",0.0562959499895962,-0.0256956535830549,-0.0275641096551666,-0.0260603371499279,-0.0260603371499279,0.0715905586243953,-0.0752412272899827,0.0954647895785545,0.0627042825379926,-0.0177489539799972,-0.00962592943230741
"miR34",0.0562959499895962,-0.0256956535830549,-0.0275641096551666,-0.0260603371499279,-0.0260603371499279,0.0715905586243953,-0.0752412272899827,0.0954647895785545,0.0627042825379926,-0.0177489539799972,-0.00962592943230741
