"","OVOL2","miR34","GRHL2","Ecad","ZEB","miR200","miR145","OCT4","KEAP1","NRF2","SNAIL"
"SNAIL",0.172984196820291,-0.137982759357418,0.141760058351858,0.141760058351858,-0.118006992121277,-0.157321894561803,0.123424739110393,-0.101378020534197,0.179504077657183,-0.130211488744657,0.358153320711988
"KEAP1",0.171561739676652,-0.136123591788616,0.142661237193925,0.142661237193925,-0.114381353812001,-0.154485692600557,0.124388567034676,-0.0966278308383572,0.181029775580283,-0.224315176536119,0.457744575353943
"OVOL2",0.2869925810056,0.131012820752354,0.129532784129441,0.129532784129441,-0.104084180445544,-0.130793451377728,0.11240190778863,-0.0893302883798566,0.154513542629253,-0.112168864748591,-0.0765352754579306
"Ecad",0.211229355620165,0.0687155423356398,0.095160141688284,0.095160141688284,-0.0499326324649372,0.0395940675632363,0.0622248188129392,-0.0214357031666807,0.0023684943439239,-0.149289045046631,0.15636304470489
"GRHL2",0.20104049695383,0.095933807062966,0.0847021444089648,0.0847021444089648,-0.0357931686475508,0.0584580984985671,0.0508734681325089,-0.00727439436472851,-0.0131558109168677,-0.0334774301186515,-0.118430438729139
"miR200",0.192029902360992,0.103780973124542,0.0794557655538361,0.0794557655538361,-0.0314533932025124,0.0675070841707958,0.0467441450926518,-0.00418402096542142,-0.123063703295904,0.0721009116654279,-0.16967721863301
"ZEB",-0.176266221648904,-0.0510154094368532,-0.0357931686475508,-0.0357931686475508,-0.0198919054746396,-0.0174967075499606,-0.0112712604890641,0.0508734681325089,0.0584580984985671,0.0861500885860119,0.145918660166124
"miR145",0.17908519364939,0.0662147690723826,0.0529596670521338,0.0529596670521338,-0.0126129336211734,0.0317152177095917,-0.0677104121831957,0.00338134947247422,0.00550630919904409,-0.0266297197414592,-0.116647785999205
"OCT4",0.00362612398631742,-0.00618996372258645,0.00442523050830693,0.00442523050830693,-0.0035686137442368,-0.0753073050473871,0.0757775586859024,-0.0747988048066949,0.076123155863238,-0.085390319589336,0.0551137977922341
"NRF2",-0.158230841210618,0.162885354615953,-0.114381353812001,-0.114381353812001,0.141760058351858,0.179504077657183,-0.101378020534197,0.124388567034676,-0.154485692600557,0.15786673136427,-0.443024791424166
"miR34",-0.158230841210618,0.162885354615953,-0.114381353812001,-0.114381353812001,0.141760058351858,0.179504077657183,-0.101378020534197,0.124388567034676,-0.154485692600557,0.15786673136427,-0.443024791424166
