"","SNAIL","miR34","miR145","GRHL2","Ecad","OVOL2","miR200","ZEB","KEAP1","NRF2","OCT4"
"miR34",0.0899985179873934,0.0821491240371964,0.0179372600141346,0.0184316388068784,0.0184316388068784,0.0157528197123335,-0.0832757594313172,-0.0850025278964441,0.0218402542099611,-0.0895513059638454,-0.0907560519604433
"miR145",0.0990013556864323,0.0993109886486873,0.0973582542260638,0.09568107571648,0.09568107571648,0.0883431030944554,0.0691500239214801,-0.0383188951694537,-0.015641471564367,-0.0313746485978601,-0.132772954158633
"GRHL2",0.0983035435171489,0.0980945137591112,0.094685993072658,0.0932654943520154,0.0932654943520154,0.0867645634647823,0.0652340151671299,-0.0378621896136885,-0.0137021524220319,-0.0326486638891219,-0.0325953546340209
"miR200",0.0139472153029732,0.0774251986907245,0.0938629749454926,0.0925214687853798,0.0925214687853798,0.0869576794446116,0.0668261972989156,-0.0357090462911759,-0.114016778326962,0.0694356655712348,-0.0304184443015826
"Ecad",0.135020227488653,0.186778892138817,0.0939041576467207,0.0925365872860607,0.0925365872860607,0.0874158158956568,0.066925968010232,-0.0342355750828633,-0.0127246753047842,-0.129394592213114,-0.0288429331569248
"OVOL2",0.0766253404530088,0.0861947603449223,0.08474187303968,0.0840702057701579,0.0840702057701579,-0.0164004146775816,-0.0277668416150581,-0.0246940916881614,0.082607947244004,-0.0210724118815301,-0.0191640052468678
"SNAIL",-0.0340849206978152,0.140611780049876,0.0856940267920359,0.0850025278964441,0.0850025278964441,0.08470564295524,-0.0264450337094726,-0.0235450462938276,0.0832757594313172,-0.0197515095607236,-0.0179372600141346
"KEAP1",0.0648803545842874,0.144465496189634,0.0907560519604433,0.0900722431005439,0.0900722431005439,0.0900040980176659,-0.0218402542099611,-0.0184316388068784,0.0883654781609277,-0.113992113383376,-0.0119216961322224
"ZEB",-0.120182224318091,-0.0490403594564405,-0.0383181913440315,-0.0378621896136885,-0.0378621896136885,-0.0290265625143626,-0.017848436031359,-0.0104266822697092,0.0652340151671299,0.0915654093952714,0.094685993072658
"NRF2",-0.0899985179873934,-0.0821491240371964,-0.0179372600141346,-0.0184316388068784,-0.0184316388068784,-0.0157528197123335,0.0832757594313172,0.0850025278964441,-0.0218402542099611,0.0895513059638454,0.0907560519604433
"OCT4",-0.0656067283092113,-0.0336469097044724,-0.131735302814605,-0.031466071535097,-0.031466071535097,-0.0229014777896141,-0.114941821745602,0.0942552797650226,0.172109653913434,-0.0041284252359662,0.199078344113245
